Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
qsra,1.000,"Quality-value guided Short Read Assembler, created to take advantage of quality-value scores as a further method of dealing with error. Compared to previous published algorithms, our assembler shows significant improvements not only in speed but also in output quality.",['Sequence assembly'],['Command-line tool'],40.0,,https://bio.tools/qsra,160.0,144.0,153.6
varsifter,1.000,"Graphical java program designed to display, sort, filter, and generally sift variation data from massively parallel sequencing experiments.It is designed to read exome-scale variation data in either a tab-delimited text file with header, or an uncompressed VCF file (see User Guide for details.) These files should be pre-generated with desired annotation information one would like to view.","['Sequencing', 'Genetics', 'Genetic variation', 'Data visualisation']",['Desktop application'],87.0,http://www.mybiosoftware.com/varsifter-0-12c-analyse-sift-variation-data.html,https://bio.tools/varsifter,160.0,150.0,156.0
pyradiomics,1.000,PyRadiomics is an ontology-guided radiomics analysis workflow (O-RAW).,"['Oncology', 'Workflows', 'Ontology and terminology', 'Medical imaging', 'Genotype and phenotype']",[],3.0,,https://bio.tools/pyradiomics,160.0,123.0,145.2
nbglm-lbc,1.000,"Guide for library design and bias correction for large-scale transcriptome studies using highly multiplexed RNAseq methods | Library bias correction for multiplex RNAseq | Library bias correction for multiplex RNAseq. GitHub Gist: instantly share code, notes, and snippets | Instantly share code, notes, and snippets |","['Transcriptomics', 'Gene transcripts', 'RNA-Seq']",['Command-line tool'],0.0,https://shka.bitbucket.io/NBGLM-LBC,https://bio.tools/nbglm-lbc,160.0,112.0,140.8
metacrast,1.000,"Reference-guided extraction of CRISPR spacers from unassembled metagenomes.

MetaCRAST: reference-guided CRISPR detection in metagenomes.

MetaCRAST (Metagenomic CRISPR Reference-Aided Search Tool) is a tool to detect CRISPR arrays in raw, unassembled metagenomes. Unlike other tools, it uses expected CRISPR direct repeat (DR) sequences from assembled contigs or bacterial genomes to guide metagenomic CRISPR detection. It uses a fast implementation of the Wu-Manber multipattern search algorithm to rapidly select reads that contain an expected DR sequence. It then proceeds through reads identified in the previous step to find DR sequences within acceptable distances of each other (i.e., with acceptable length spacers between them). Spacers between these DRs are then extracted and clustered into a non-redundant set with CD-HIT","['Metagenomics', 'Sequence assembly', 'Metagenomic sequencing', 'Microbial ecology']",['Command-line tool'],0.0,,https://bio.tools/metacrast,160.0,112.0,140.8
saavpedia,1.000,"Identification, Functional Annotation, and Retrieval of Single Amino Acid Variants for Proteogenomic Interpretation.

SAAVpedia is a platform for identification, functional annotation, retrieval of single amino-acid variants from proteomic and genomic data.

Home Y.-M. Kang 2019-12-24T08:52:37+00:00.

S ingle A mino- A cid V ariant Encyclo pedia :.

User Guide Y.-M. Kang 2018-11-28T11:06:16+00:00.

The SAAVpedia is a comprehensive proteogenomic interpretation platform that identifies, annotates, and retrieves SAAVs from proteomic and genomic sequence data to discover true pathogenic variant candidates. SAAVpedia provides a proteogenomic analysis pipeline to prioritize and interpret SAAVs.

The SAAVpedia is a platform to identify, annotate, and retrieve pathogenic SAAV candidates from proteomic and genomic data.

Identification, functional annotation, and retrieval of single amino-acid variants for proteogenomic interpretation","['Proteomics', 'Sequence analysis', 'Small molecules', 'Proteomics experiment', 'Pharmacology']",[],1.0,https://github.com/saavpedia/python/,https://bio.tools/saavpedia,160.0,119.0,143.6
mustguseal,1.000,Multiple structure-guided sequence alignment of protein families.,"['Sequencing', 'Sequence analysis', 'Gene and protein families']",['Web application'],6.0,,https://bio.tools/mustguseal,160.0,129.0,147.6
relics,1.000,"Discovering functional sequences with RELICS.

RELICS ✨: Regulatory Element Location Identification in CRISPR screens.

RELICS is an analysis method for discovering functional sequences from tiling CRISPR screens. The current version (v.2.0) of RELICS uses a Bayesian hierarchical model and considers the overlapping effects of multiple guides, can jointly analyze multiple pools per replicate, and estimates the number of functional sequences supported by the data.","['Genotype and phenotype', 'Transcription factors and regulatory sites', 'Sequencing', 'Gene transcripts', 'Functional, regulatory and non-coding RNA']",[],0.0,https://figshare.com/projects/RELICS_2_data/74376,https://bio.tools/relics,160.0,112.0,140.8
flowcatchr,1.000,"Set of tools to analyze in vivo microscopy imaging data, focused on tracking flowing blood cells. It guides the steps from segmentation to calculation of features, filtering out particles not of interest, providing also a set of utilities to help checking the quality of the performed operations (e.g. how good the segmentation was). It allows investigating the issue of tracking flowing cells such as in blood vessels, to categorize the particles in flowing, rolling and adherent.","['Biological imaging', 'Data visualisation']","['Command-line tool', 'Library']",671.0,https://github.com/federicomarini/flowcatchR,https://bio.tools/flowcatchr,160.0,160.0,160.0
sergio,1.000,"SERGIO (Single-cell ExpRession of Genes In silicO). A Single-Cell Expression Simulator Guided by Gene Regulatory Networks.

SERGIO is a simulator for single-cell expression data guided by gene regulatory networks. A command-line, easy-to-use version of SERGIO will be soon uploaded to PyPI. Here is the documentation for using SERGIO v1.0.0 as a module in python.","['Molecular interactions, pathways and networks', 'RNA-Seq', 'Gene transcripts', 'Gene expression', 'Protein expression']",[],0.0,,https://bio.tools/sergio,160.0,112.0,140.8
ragoo,1.000,"fast and accurate reference-guided scaffolding of draft genomes.

Fast Reference-Guided Scaffolding of Genome Assembly Contigs.

Index of /shares/schatzlab/www-data/ragoo.

A tool to order and orient genome assembly contigs via Minimap2 alignments to a reference genome.

Alonge, Michael, et al. ""RaGOO: fast and accurate reference-guided scaffolding of draft genomes."" Genome biology 20.1 (2019): 1-17.

Contigs and reference fasta files may now be gzipped.

RaGOO is a tool for coalescing genome assembly contigs into pseudochromosomes via minimap2 alignments to a closely related reference genome. The focus of this tool is on practicality and therefore has the following features:","['Sequencing', 'Sequence assembly', 'Cell biology', 'Plant biology']",[],0.0,http://share.schatz-lab.org/ragoo/,https://bio.tools/ragoo,160.0,112.0,140.8
crisprpred,1.000,Flexible and efficient tool for single guide RNA (sgRNAs) on-target activity prediction in CRISPR/Cas9 systems.,"['RNA', 'Machine learning', 'Sequence analysis']",['Command-line tool'],4.0,,https://bio.tools/crisprpred,160.0,127.0,146.8
de-smokegcn,1.000,Generative cooperative networks for joint surgical smoke detection and removal in order to remove surgical smoke and improve the quality of intra-operative imaging and reduce hazards in image-guided surgery.  This is a highly desirable post-process for many clinical applications.,"['Machine learning', 'Medical imaging', 'Surgery']",['Script'],0.0,https://github.com/melights/cnn_desmoke/issues,https://bio.tools/de-smokegcn,160.0,112.0,140.8
snp-crispr,1.000,"A Web Tool for SNP-Specific Genome Editing.

SNP-targeted CRISPR design pipeline.

CRISPR/Cas9 target online predictor.

DRSC tool for designing SNP-targetted CRISPR guides.

Are you interested in targeting SNP or INDEL variants in your experiment? Look no further! We can help you find CRISPR guide designs (both -NGG and -NAG) in Fly, Human, Mouse, Zebrafish, and Rat genomes. Each guide will be given an efficiency and off-target score based on our algorithms so that you can plan accordingly. Targeting multiple variants within the same guide is also available (select the checkbox)!.

Online version available at: https://www.flyrnai.org/tools/snp_crispr.

DRSC tool for search and view of pre-computed CRISPR designs for genome engineering (knock-out or knock-in) in Drosophila.

DRSC/TRiP Functional Genomics Resources.

— Rational design of CRISPR/Cas target.

Enter an accession number (e.g","['Genetic engineering', 'Transcription factors and regulatory sites', 'Sequencing', 'Gene transcripts', 'DNA polymorphism']",[],0.0,https://github.com/jrodiger/snp_crispr,https://bio.tools/snp-crispr,160.0,112.0,140.8
arc,1.000,"ARC is a pipeline which facilitates iterative, reference guided de novo assemblies.",['Assembly'],['Command-line tool'],0.0,http://www.mybiosoftware.com/arc-1-1-3-assembly-by-reduced-complexity.html,https://bio.tools/arc,160.0,112.0,140.8
genomediver,1.000,"A platform for phenotype-guided medical genomic diagnosis.

Genomic and Phenotypic filters for the Genome Diver project.","['Exome sequencing', 'Genomics', 'Pathology', 'Genotype and phenotype', 'Paediatrics']",['Command-line tool'],0.0,,https://bio.tools/genomediver,160.0,112.0,140.8
qtlbase,1.000,"an integrative resource for quantitative trait loci across multiple human molecular phenotypes.

QTLbase curates and compiles genome-wide QTL summary statistics for many human molecular traits across over 70 tissue/cell types. The database comprises tens of millions significant genotype-molecular trait associations under different conditions. Users can visualize QTL results in phenome-wide and tissue-wide levels, and annotate their biological functions through comprehensive genomic features and functional evidence. QTLbase provides a one-stop shop of QTLs retrieval and comparison across multiple tissues and multiple layers of molecular complexity, and it will greatly help researchers interrogate the biological mechanism of causal variants and guide the direction of functional validation","['GWAS study', 'Epigenomics', 'Genotype and phenotype', 'Microarray experiment', 'Gene expression']",[],0.0,http://mulinlab.tmu.edu.cn/qtlbase,https://bio.tools/qtlbase,160.0,112.0,140.8
adnet,1.000,"An attention-guided denoising convolutional neural network (ADNet), mainly including a sparse block (SB), a feature enhancement block (FEB), an attention block (AB) and a reconstruction block (RB) for image denoising.","['Machine learning', 'Imaging', 'Data mining']",['Command-line tool'],0.0,,https://bio.tools/adnet,160.0,112.0,140.8
skelesim,1.000,"skeleSim guides users in choosing appropriate simulations, setting parameters, calculating genetic summary statistics, and organizing data output, in a reproducible pipeline within the R environment.","['Population genetics', 'Statistics and probability']",['Command-line tool'],6.0,https://github.com/christianparobek/skeleSim,https://bio.tools/skelesim,160.0,129.0,147.6
isotope,1.000,"ISOform-guided prediction of epiTOPEs in cancer.

The following pipeline have been developed for the identification of cancer-specific splicing-derived epitopes from RNA-seq.

The pipeline is divided in 4 parts, depending the event type the user wants to obtain:.

For the obtention of exonizations, neoskipping and A5_A3 events, the first input are the read counts mapped to all posible junctions in the genome. This file (readCounts.tab) is created through Junckey (https://github.com/comprna/Junckey#1-format-star-output). From these junctions, ISOTOPE will obtain all splicing events expressed significantly.","['Oncology', 'RNA-Seq', 'RNA splicing', 'Gene transcripts', 'Immunogenetics']",['Command-line tool'],0.0,,https://bio.tools/isotope,160.0,112.0,140.8
awsem-suite,1.000,"A protein structure prediction server based on template-guided, coevolutionary-enhanced optimized folding landscapes.","['Protein folds and structural domains', 'Protein folding, stability and design', 'Structure prediction', 'Small molecules']",['Web application'],0.0,,https://bio.tools/awsem-suite,160.0,112.0,140.8
pga,1.000,"This package provides functions for construction of customized protein databases based on RNA-Seq data with/without genome guided, database searching, post-processing and report generation. This kind of customized protein database includes both the reference database (such as Refseq or ENSEMBL) and the novel peptide sequences form RNA-Seq data.","['Data submission, annotation and curation', 'Proteomics', 'Database management', 'Data governance', 'RNA-seq', 'Proteomics experiment', 'Data integration and warehousing']","['Command-line tool', 'Library']",22.0,,https://bio.tools/pga,160.0,138.0,151.2
wg-blimp,1.000,"an end-to-end analysis pipeline for whole genome bisulfite sequencing data.

wg-blimp (Whole Genome BisuLfIte sequencing Methylation analysis Pipeline) can be utilised to analyse WGBS data. It performs alignment, qc, methylation calling, DMR calling, segmentation and annotation using a multitude of tools. First time using wg-blimp? We recommend having a look at our step-by-step guide","['Workflows', 'Epigenetics', 'Genomics', 'Methylated DNA immunoprecipitation', 'Whole genome sequencing']",[],0.0,,https://bio.tools/wg-blimp,160.0,112.0,140.8
megagta,1.000,"Review, Evaluation, and Directions for Gene-Targeted Assembly for Ecological Analyses of Metagenomes.

HMM-guided metagenomic gene-targeted assembler using iterative de Bruijn graphs.

git clone https://github.com/HKU-BAL/megagta.git.","['Microbial ecology', 'Metagenomic sequencing', 'Metagenomics', 'Sequence assembly', 'Phylogenetics']",['Command-line tool'],0.0,,https://bio.tools/megagta,160.0,112.0,140.8
silva tree viewer,1.000,Interactive web browsing of the SILVA phylogenetic guide trees.,"['Phylogenetics', 'Sequence analysis']",['Web application'],1.0,,https://bio.tools/silva tree viewer,160.0,119.0,143.6
evoclustrna,1.000,RNA 3D structure prediction guided by independent folding of homologous sequences and  multiple sequence alignment information docs @ http://EvoClustRNA.rtfd.io.,"['Nucleic acid structure analysis', 'RNA-Seq', 'Protein structure analysis', 'RNA', 'Structure prediction']",['Command-line tool'],0.0,,https://bio.tools/evoclustrna,160.0,112.0,140.8
crisflash,1.000,Software to generate CRISPR guide RNAs against genomes annotated with individual variation.,['Genetic variation'],['Command-line tool'],0.0,https://github.com/crisflash/crisflash/issues,https://bio.tools/crisflash,160.0,112.0,140.8
hsst,1.000,"Framework to determine optimal parameter selection for a generic spike sorting algorithm.

Heuristic Spike Sort Tuner Readme.

Novel paradigm for optimal parameter selection of a generic spike sorting algorithm. Full code base written for Matlab 2018a is available here. Full documentation along with a getting started guide is in the HSST Manual.pdf.","['Sequencing', 'Physiology', 'Mathematics']",['Library'],0.0,,https://bio.tools/hsst,160.0,112.0,140.8
refshannon,1.000,"A genome-guided transcriptome assembler using sparse flow decomposition.

High throughput sequencing of RNA (RNA-Seq) has become a staple in modern molecular biology, with applications not only in quantifying gene expression but also in isoform-level analysis of the RNA transcripts. To enable such an isoform-level analysis, a transcriptome assembly algorithm is utilized to stitch together the observed short reads into the corresponding transcripts. This task is complicated due to the complexity of alternative splicing - a mechanism by which the same gene may generate multiple distinct RNA transcripts. We develop a novel genome-guided transcriptome assembler, RefShannon, that exploits the varying abundances of the different transcripts, in enabling an accurate reconstruction of the transcripts. Our evaluation shows RefShannon is able to improve sensitivity effectively (up to 22%) at a given specificity in comparison with other state-of-the-art assemblers","['RNA-Seq', 'Transcriptomics', 'Sequence assembly', 'RNA splicing', 'Gene transcripts']",[],0.0,,https://bio.tools/refshannon,160.0,112.0,140.8
kourami,1.000,Graph-guided assembly for HLA alleles.,"['Human biology', 'Immunoproteins, genes and antigens', 'Molecular genetics']",['Command-line tool'],3.0,,https://bio.tools/kourami,160.0,123.0,145.2
opt-sgrna,1.000,"Optimized sgRNA Design by Deep Learning to Balance the Off-Target Effects and On-Target Activity of CRISPR/Cas9.

A user-friendly tool for single-guide RNA (sgRNA) design of CRISPR-Cas system.

The CRISPR Cas9 system is currently considered as the most advanced tool used for numerous areas of biological study in which it is useful to target or modify specific DNA sequences.","['Sequencing', 'Gene transcripts', 'Machine learning', 'Transcription factors and regulatory sites']",['Command-line tool'],0.0,,https://bio.tools/opt-sgrna,160.0,112.0,140.8
e-crisp,1.000,"E-CRISP is a computational tool to design and evaluate guide RNAs for use with CRISPR/Cas9. The web application uses fast algorithms to identify target sequences for use with mediated genome editing. E-CRISP analyzes target specificity of the putative designs and assesses their genomic context (e.g. exons, transcripts, CpG islands). The design process incorporates different parameters of how CRISPR constructs can be used in experimental applications, such as knock-out and tagging experiments. E-CRISP can design guide RNAs for genomes of more than 30 organisms.",['Computational biology'],['Web application'],257.0,,https://bio.tools/e-crisp,160.0,155.0,158.0
tygress,1.000,"In situ structure determination at nanometer resolution using TYGRESS.

TYGRESS:Tomography-Guided 3D Reconstruction of Subcellular Structures.

Tomography-Guided 3D Reconstruction of Subcellular Structures (TYGRESS) is a hybrid method, which combines the advantageous features of both cryo-electron tomography and single particle cryo-EM to achieve higher resolution than before of complex subcellular structures within their native environment.

Back to UT Southwestern Back to UTSW Labs","['Tomography', 'Molecular modelling', 'Electron microscopy', 'Light microscopy']",[],0.0,,https://bio.tools/tygress,160.0,112.0,140.8
gcwgan,1.000,"De Novo Protein Design for Novel Folds Using Guided Conditional Wasserstein Generative Adversarial Networks.

k.","['Protein folds and structural domains', 'Protein folding, stability and design', 'Structure prediction', 'Physics']",['Command-line tool'],0.0,,https://bio.tools/gcwgan,160.0,112.0,140.8
guideseq,1.000,"The package implements GUIDE-seq analysis workflow including functions for obtaining unique insertion sites (proxy of cleavage sites), estimating the locations of the insertion sites, aka, peaks, merging estimated insertion sites from plus and minus strand, and performing off target search of the extended regions around insertion sites.","['Nucleic acid structure analysis', 'Nucleic acid sites, features and motifs']","['Command-line tool', 'Library']",8.0,,https://bio.tools/guideseq,160.0,135.0,150.0
nsrrr,1.000,Multivariate regression model capable of using prior biological knowledge expressed as gene interaction networks to guide the search for associations between gene expression and DNA methylation signatures.,"['Epigenetics', 'Molecular interactions, pathways and networks', 'Gene expression', 'Systems biology']",['Command-line tool'],7.0,http://www.mybiosoftware.com/nsrrr-network-guided-sparse-reduced-rank-regression.html,https://bio.tools/nsrrr,160.0,132.0,148.8
oslgg,1.000,"An Online Prognostic Biomarker Analysis Tool for Low-Grade Glioma.

Glioma is the most frequent primary brain tumor that causes high mortality and morbidity with poor prognosis. There are four grades of gliomas, I to IV, among which grade II and III are low-grade glioma (LGG). Although less aggressive, LGG almost universally progresses to high-grade glioma and eventual causes death if lacking of intervention. Current LGG treatment mainly depends on surgical resection followed by radiotherapy and chemotherapy, but the survival rates of LGG patients are low. Therefore, it is necessary to use prognostic biomarkers to classify patients into subgroups with different risks and guide clinical managements. Using gene expression profiling and long-term follow-up data, we established an Online consensus Survival analysis tool for LGG named OSlgg. OSlgg is comprised of 720 LGG cases from two independent cohorts","['Gene expression', 'RNA-Seq', 'Biomarkers']",['Web application'],0.0,,https://bio.tools/oslgg,160.0,112.0,140.8
crispr-tape,1.000,"protein-centric CRISPR guide design for targeted proteome engineering.

A protein-centric CRISPR gRNA design tool for TArgeted Protein Engineering.

Existing CRIPSR gRNA design tools target protein-coding regions within genomic loci and non-specifically target the entire input region of DNA. Current tools fail to consider proteomic-based applications, so CRISPR-TAPE has been developed to reduce the substantial time burden associated with manual curation of gRNA libraries and empower the proteomics community.

Hello, welcome to CRISPR-TAPE, a protein-centric gRNA design tool.","['Protein folding, stability and design', 'Proteomics', 'Sequence analysis', 'Small molecules', 'Gene transcripts']",['Desktop application'],0.0,http://github.com/LaboratoryChild/CRISPR-TAPE,https://bio.tools/crispr-tape,160.0,112.0,140.8
gedfn,1.000,"Graph Embedding Deep Learning Guides Microbial Biomarkers' Identification.

graph embedding deep learning guide microbial biomarkers' identification.","['Microbial ecology', 'Machine learning', 'Biomarkers']",['Command-line tool'],0.0,,https://bio.tools/gedfn,160.0,112.0,140.8
histoneanalysisworkflow,1.000,"A practical guide for analysis of histone post-translational modifications by mass spectrometry.

Workflow to perform data quality checks, filtering, normalization, statistics, and visualization for histone PTM data run through EpiProfile 2.0.

Workflow to perform data quality checks, filtering, normalization, statistics, and visualization for histone PTM data run through EpiProfile 2.0 or Skyline software.

Raw data and example scripts can be found at: doi:10.25345/C5ZQ0F.","['Epigenetics', 'Protein modifications', 'Proteomics experiment', 'Proteomics']",['Command-line tool'],0.0,,https://bio.tools/histoneanalysisworkflow,160.0,112.0,140.8
dp-glpca,1.000,"Dissimilarity propagation-guided graph-Laplacian principal component analysis (DP-GLPCA) is a model for constrained clustering. By fully utilizing a limited number of weakly supervisory information in the form of pairwise constraints, the proposed DP-GLPCA is capable of capturing both the local and global structures of input samples to exploit their characteristics for excellent clustering.",[],['Script'],0.0,,https://bio.tools/dp-glpca,160.0,112.0,140.8
virtus,1.000,"VIRTUS : VIRal Transcript Usage Sensor v1.2.1. A pipeline for comprehensive virus analysis from conventional RNA-seq data.

Virus transcript detection and quantification using normal human RNAseq. VIRTUS is the first tool to detect viral transcripts considering their splicing event rather than the viral genome copy number. VIRTUS can be applied to both bulk RNAseq and single-cell RNAseq. The virus reference covers 762 viruses including SARS-CoV-2 (cause of COVID-19). The workflow is implemented by Common Workflow Language and Rabix. You can specify each parameter individually or give yaml or json file which describes all the parameter information. In detail, check the CWL User Guide out.","['Workflows', 'RNA-Seq', 'Genomics', 'Gene expression', 'Gene transcripts']",[],0.0,,https://bio.tools/virtus,160.0,112.0,140.8
mango_eda,1.000,"Exploratory Data Analysis for Large-Scale Sequencing Datasets.

Mango User Guide â€” bdgenomics.mango 0.0.5 documentation.

Free document hosting provided by Read the Docs.",['DNA'],['Command-line tool'],0.0,,https://bio.tools/mango_eda,160.0,112.0,140.8
perga,1.000,Novel sequence reads guided de novo assembly approach which adopts greedy-like prediction strategy for assembling reads to contigs and scaffolds.,"['Sequencing', 'Sequence assembly', 'Nucleic acids']",['Command-line tool'],7.0,http://www.mybiosoftware.com/perga-0-5-03-01-paired-end-reads-guided-assembler.html,https://bio.tools/perga,160.0,132.0,148.8
mlefgn,1.000,"Multilevel Edge Features Guided Network for Image Denoising.

This repository is an official PyTorch implementation of the paper ''Multi-level Edge Features Guided Network for Image Denoising''. (TNNLS 2020).

The paper can be downloaded from MLEFGN.

Image denoising is a challenging inverse problem due to the complex scenes and information loss.","['Machine learning', 'Imaging']",['Command-line tool'],0.0,,https://bio.tools/mlefgn,160.0,112.0,140.8
e.coli index,1.000,Comprehensive guide of information relating to E. coli; home of Echobase: a database of E. coli genes characterized since the completion of the genome.,"['Membrane and lipoproteins', 'Proteins', 'Proteomics']",['Database portal'],17.0,,https://bio.tools/e.coli index,160.0,136.0,150.4
gribcg,1.000,Guide RNA Identifier for Balancer Chromosome Generation (GRIBCG) - software for selection of sgRNAs in the design of balancer chromosomes.,"['Zoology', 'Plant biology', 'DNA']",['Library'],1.0,,https://bio.tools/gribcg,160.0,119.0,143.6
matchathon,1.000,"A guide to student-faculty connections in PhD programs.

R Shiny app to match two sets of people based on mutual interests (e.g. students and faculty based on research interest).

Created for the Matchathon event for the Program in Biomedical Sciences (PIBS) incoming first-year student Matchathon event.

To help students find faculty members with mutual research interests, we use this algorithm to match first-year PhD students and faculty who are in search of trainees based on mutual research interests. Then these students and faculty meet during a two hour Matchathon event. At the event students meet individually with 12 different faculty members for 5 minutes each.",['Biomedical science'],['Web service'],0.0,https://github.com/UM-OGPS/matchathon/,https://bio.tools/matchathon,160.0,112.0,140.8
accucopy,1.000,Accucopy is a CNA-calling method that extends our previous Accurity model to predict both total (TCN) and allele-specific copy numbers (ASCN) for the tumor genome. Accucopy adopts a tiered Gaussian mixture model coupled with an innovative autocorrelation-guided EM algorithm to find the optimal solution quickly. The Accucopy model utilizes information from both total sequencing coverage and allelic sequencing coverage.,"['Exome sequencing', 'Genomics', 'Whole genome sequencing']",['Command-line tool'],0.0,https://github.com/polyactis/Accucopy,https://bio.tools/accucopy,160.0,112.0,140.8
viralmsa,1.000,"Massively scalable reference-guided multiple sequence alignment of viral genomes.

ViralMSA is a tool to perform reference-guided multiple sequence alignment of viral genomes.

Importantly, ViralMSA differs significantly from VIRULIGN, a codon-correct reference-guided alignment tool designed for viruses, in three key ways:.","['Public health and epidemiology', 'Genomics', 'Sequence analysis']",['Command-line tool'],0.0,,https://bio.tools/viralmsa,160.0,112.0,140.8
splicegrapher,1.000,"SpliceGrapher is a package for creating splice graphs from RNA-Seq data, guided by gene models and EST data (when available).",['RNA splicing'],['Command-line tool'],56.0,,https://bio.tools/splicegrapher,160.0,147.0,154.8
amplican,1.000,"It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.","['PCR experiment', 'Statistics and probability']",['Library'],0.0,https://github.com/valenlab/amplican,https://bio.tools/amplican,160.0,112.0,140.8
clickgene,1.000,"An open cloud-based platform for big pan-cancer data genome-wide association study, visualization and exploration | Click: Do GWAS analysis by yourself by Clicking | More than 30 cancer types, more than 10,000 samples | Including gene expression, copy number variation, methylation and mutation data categories | You are accessing a non-profit web site which is based on GDC data portal hosted by National Cancer Institute, USA. All data was downloaded from GDC public database. Please make sure you are aware of and obey the policy of GDC data portal. Please go to User`s Guide for more information | Beeswarm plot, Manhattan plot, Volcano plot, Mountain plot, Deflection plot, Linear regression analysis, significance test and","['Genetic variation', 'Oncology', 'GWAS study']",['Web application'],1.0,http://www.clickgenome.org/welcome/,https://bio.tools/clickgene,160.0,119.0,143.6
