Tools	Score	Curation	Category	Licensing 	Description	URL	bio.tools URL	
OWLAPI	1	Manual	Ontology engineering	Open Source	The OWL API is a Java API for creating, manipulating and serialising OWL Ontologies.	https://github.com/owlcs/owlapi		
rdflibs	1	Manual	Ontology engineering	Open Source	RDFLib is a pure Python package for working with RDF. RDFLib contains useful APIs for working with RDF, including:	https://rdflib.readthedocs.io/en/stable/		
Biobert	1	Manual	Entity and concept recognition	Open Source	This repository provides the code for fine-tuning BioBERT, a biomedical language representation model designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details. This project is done by DMIS-Lab. 	https://github.com/dmis-lab/biobert		
NCBO bioportal Annotator	1	Manual	Text annotation	Open Source	The range of publicly available biomedical data is enormous and continues to rapidly expand. This expansion means that researchers now face a hurdle to extracting the data they need from the large numbers of data that are available. Biomedical researchers have turned to ontologies and terminologies to structure and annotate their data with ontology concepts for better search and retrieval. However, this annotation process cannot be easily automated and often requires expert curators. Plus, there is a lack of easy-to-use systems that facilitate the use of ontologies for annotation. The NCBO Annotator (formerly referred to as the Open Biomedical Annotator (OBA)) is an ontology-based Web service that annotates public datasets with biomedical ontology concepts based on their textual metadata. The biomedical community can use the annotator service to tag their data automatically with ontology concepts. These concepts come from the Unified Medical Language System (UMLS) Metathesaurus and the National Center for Biomedical Ontology (NCBO) BioPortal ontologies. Such annotations facilitate translational discoveries by integrating annotated data.	https://bioportal.bioontology.org/annotator		
Collibra	1	Manual	Ontology management	Commercial		https://www.collibra.com/		
MarkLogic	1	Manual	Ontology management	Commercial		https://developer.marklogic.com/concept/ontology-driven-entity-extraction/		
Alation	1	Manual	Ontology management	Commercial		https://www.alation.com/		
GeneTegra	1	Manual	Ontology management	Commercial	INFOTECH Soft is dedicated to the development of state of the art software solutions for the healthcare and life science industries. Our objective is to create software solutions that enable medical and research professionals to effectively diagnose and treat patient ailments. We specialize in the application of Semantic Web technologies to biomedical and clinical research. Coupled with a solid understanding of new and evolving technologies in network computing, high speed integrated services networks, and distributed systems architectures, our goal is to meet the information technology solutions needs of our customers.	http://www.genetegra.com/		
NeuralCR	1	Manual	Ontology mapping	Commercial	NCR is a concept recognizer for annotating unstructured text with concepts from an ontology. In its core, NCR uses a deep neural network trained to classify input phrases with concepts in a given ontology, and is capable of generalizing to synonyms not explicitly available.	https://github.com/ccmbioinfo/NeuralCR		
Topbraid Composer	1	Manual	Ontology management	Commercial	TopBraid EDG–VM creates a Knowledge Graph of your vocabularies and associated resources. A flexible, web-based system, it supports business stakeholders who need to collaborate on defining, linking and using enterprise vocabularies (such as taxonomies, thesauri and ontologies) required to integrate content sources, comply with regulations, enhance navigation and search.	https://www.topquadrant.com/products/topbraid-edg-vocabulary-management/		
Termite (scibite) Centre	1	Manual	Ontology management	Commercial	SciBite addresses these problems with user-friendly, efficient and robust solutions which simplify collaborative ontology management and use the power of machine learning techniques to support the process of curating and enriching both internal and external ontologies.	https://www.scibite.com/		
PoolParty	1	Manual	Ontology mapping	Commercial	https://help.poolparty.biz/pp7/user-guide-for-knowledge-engineers/advanced-features/ontology-management-overview	https://www.poolparty.biz/natural-language-processing/		
Stardog	1	Manual	Ontology management	Commercial	Deliver faster time to insight with Stardog’s Enterprise Knowledge Graph platform. Bring context to your data for better decision-making Perform complex queries across silos Seamlessly support multiple apps and data models	https://www.stardog.com/		
Virtuoso	1	Manual	Ontology management	Commercial	Virtuoso Universal Server is modern platform built on existing open standards that harnesses the power of Hyperlinks (functioning as Super Keys) for breaking down data silos that impede both user and enterprise ability . For example, Virtuoso's core SQL & SPARQL powers many Enterprise Knowledge Graph initiatives just as it does DBpedia and a majority of nodes in the Linked Open Data Cloud -- the world's largest publicly accessible Knowledge Graph.	https://virtuoso.openlinksw.com/		
OntoText	1	Manual	Ontology management	Commercial	Organize your information and documents into enterprise knowledge graphs. We make data management and analytics work in synergy: Connect and publish complex enterprise knowledge with standard-compliant semantic graph database; Customize and apply analytics to link documents to graphs, extract new facts, classify and recommend content; Access data via GraphQL to ease application development.	https://www.ontotext.com/products/ontotext-platform/		
VocBench	1	Manual	Ontology engineering	Open Source	VocBench is a web-based, multilingual, collaborative development platform for managing OWL ontologies, SKOS(/XL) thesauri, Ontolex-lemon lexicons and generic RDF datasets.	http://vocbench.uniroma2.it/		
Innovator	1	Manual	Ontology management	Commercial	With Innovator, you depict all information and architecture views of your company consistently in a single tool. Transparency and impact analysis at the touch of a button allow you to make precise analyses of connections at all times.	https://www.mid.de/en/business-activities/tools/innovator?tx_tweprivacy_eprivacy%5Baction%5D=banner&tx_tweprivacy_eprivacy%5Bcontroller%5D=Subject		
Protege	1	Manual	Ontology engineering	Open Source	A free, open-source ontology editor and framework for building intelligent systems	https://protege.stanford.edu/		
beere	1	Manual	Entity and concept recognition	Open Source	BEERE (Biomedical Entity Expansion, Ranking and Explorations) is a new web-based data analysis tool to help biomedical researchers characterize any input list of genes/proteins, biomedical terms or their combinations, i.e. ‘biomedical entities’, in the context of existing literature. Specifically, BEERE first aims to help users examine the credibility of known entity-to-entity associative or semantic relationships supported by database or literature references from the user input of a gene/term list. Then, it will help users uncover the relative importance of each entity––a gene or a term––within the user input by computing the ranking scores of all entities. A	http://discovery.informatics.uab.edu/BEERE/		
biobert	1	Automated	Entity and concept recognition	Open Source	A pre-trained biomedical language representation model for biomedical text mining | BioBERT: a pre-trained biomedical language representation model | This repository provides pre-trained weights of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details | This repository provides fine-tuning codes of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details. This project is done by DMIS-Lab	https://github.com/dmis-lab/biobert		https://bio.tools/biobert
matscholar	1	Automated	Entity and concept recognition	Open Source	Named Entity Recognition and Normalization Applied to Large-Scale Information Extraction from the Materials Science Literature | Public API for the Materials Scholar database | matscholar (Materials Scholar) is a Python library for materials-focused natural language processing (NLP). It is maintained by a team of researchers at UC Berkeley and Lawrence Berkeley National Laboratory as part of a project funded by the Toyota Research Institute	https://github.com/materialsintelligence/matscholar		https://bio.tools/matscholar
calchas	0.933	Automated	Entity and concept recognition	Open Source	A web based framework that takes advantage of domain specific ontologies, and Natural Language Processing, aiming to empower exploration of biomedical resources via semantic-based querying and search. The NLP engine analyzes the input free-text query and translates it into targeted queries with terms from the underlying ontology. Each query is passed to the semantically-annotated tools repository, and based on similarity matches, it ranks the available resources.	http://calchas.ics.forth.gr		https://bio.tools/calchas
ppr-ssm	0.917	Automated	Entity and concept recognition	Open Source	personalized PageRank and semantic similarity measures for entity linking. BACKGROUND:Biomedical literature concerns a wide range of concepts, requiring controlled vocabularies to maintain a consistent terminology across different research groups. However, as new concepts are introduced, biomedical literature is prone to ambiguity, specifically in fields that are advancing more rapidly, for example, drug design and development. Entity linking is a text mining task that aims at linking entities mentioned in the literature to concepts in a knowledge base. For example, entity linking can help finding all documents that mention the same concept and improve relation extraction methods. Existing approaches focus on the local similarity of each entity and the global coherence of all entities in a document, but do not take into account the semantics of the domain. RESULTS:We propose a method, PPR-SSM, to link entities found in documents to concepts from domain-specific ontologies			https://bio.tools/ppr-ssm
hpo2go	0.917	Automated	Ontology mapping	Open Source	Prediction of human phenotype ontology term associations using cross ontology annotation co-occurrences. Mapping between HPO and GO terms. If you find HPO2GO useful, please consider citing this publication:. Mapping between Human Phenotype Ontology (HPO) and Gene Ontology (GO) terms for the prediction of gene/protein - function - phenotype - disease associations. In this study, a novel approach is proposed for the identification of relationships between biomedical entities by automatically mapping phenotypic abnormality defining HPO terms with biomolecular function defining GO terms, where each association indicates the occurrence of the abnormality due to the loss of the biomolecular function expressed by the corresponding GO term			https://bio.tools/hpo2go
belief	0.833	Automated	Entity and concept recognition	Open Source	BELIEF (Biological Expression Language Information Extraction WorkFlow) is a semi-automated workflow for BEL network creation. It embeds an information extraction workflow with state-of-the-art named entity recognition (NER) and relation extraction (RE) methods.			https://bio.tools/belief
collabonet	0.833	Automated	Entity and concept recognition	Open Source	Collaboration of deep neural networks for biomedical named entity recognition.			https://bio.tools/collabonet
ontokin	0.817	Automated	Ontology management	Open Source	An Ontology for Chemical Kinetic Reaction Mechanisms. A knowledge-graph built with the integration of semantic technologies and software agents for enhancing the experience of chemists in querying chemical kinetic reaction mechanisms. This User Interface (UI) demonstrates the query capability of OntoKin	http://theworldavatar.com/ontokin		https://bio.tools/ontokin
qtl tableminer++(qtm)	0.767	Automated	Entity and concept recognition	Open Source	It is a command-line tool to retrieve and semantically annotate results obtained from QTL mapping experiments. It takes full-text articles from the Europe PMC repository as input and outputs the extracted QTLs into a relational database (SQLite) and text file (CSV).			https://bio.tools/qtl tableminer++(qtm)
anddigest	0.75	Automated	Ontology mapping	Open Source	A web-based module of ANDSystem for the search of knowledge in the scientific literature. The rapid growth of scientific literature has rendered the task of finding relevant information one of the critical problems in almost any research. Search engines, like Google Scholar, Web of Knowledge, PubMed, Scopus, and others, are highly effective in document search; however, they do not allow knowledge extraction. In contrast to the search engines, text-mining systems provide extraction of knowledge with representations in the form of semantic networks. Of particular interest are tools performing a full cycle of knowledge management and engineering, including automated retrieval, integration, and representation of knowledge in the form of semantic networks, their visualization, and analysis. STRING, Pathway Studio, MetaCore, and others are well-known examples of such products			https://bio.tools/anddigest
craft	0.75	Automated	Entity and concept recognition	Open Source	The Colorado Richly Annotated Full Text Corpus (CRAFT) is a manually annotated corpus consisting of 67 full-text biomedical journal articles from the PubMed Central Open Access Subset.	http://bionlp-corpora.sourceforge.net/CRAFT/index.shtml		https://bio.tools/craft
acela	0.75	Automated	Entity and concept recognition	Open Source	Tool that aims to reduce the human effort required to produce a gold standard corpus of named entity (NE) annotations.			https://bio.tools/acela
thbp	0.75	Automated	Entity and concept recognition	Open Source	Mapping anatomical related entities to human body parts based on wikipedia in discharge summaries | *: Background Consisting of dictated free-text documents such as discharge summaries, medical narratives are widely used in medical natural language processing. Relationships between anatomical entities and human body parts are crucial for building medical text mining applications. To achieve this, we establish a mapping system consisting of a Wikipedia-based scoring algorithm and a named entity normalization method (NEN). The mapping system makes full use of information available on Wikipedia, which is a comprehensive Internet medical knowledge base			https://bio.tools/thbp
wego2.0	0.667	Automated	Ontology mapping	Open Source	Web Gene Ontology Annotation Plot. Visualizing, comparing and plotting GO (Gene Ontology) annotation results.			https://bio.tools/wego2.0
flytf	0.667	Automated	Ontology mapping	Open Source	Database of computationally predicted and/or experimentally verified site-specific transcription factors (TFs) in the fruit fly Drosophila melanogaster. This database contains information on the manual curation of 1052 FlyBase identifiers, which are putative site-specific transcription factors, based on FlyBase/Gene Ontology annotation or the DBD Transcription Factor Database.			https://bio.tools/flytf
wego	0.667	Automated	Ontology mapping	Open Source	Web Gene Ontology Annotation Plot (WEGO) helps visualize the annotation of sets of genes. WEGO can compare gene annotation datasets by plotting the distribution of gene ontology (GO) annotation results into a histogram.			https://bio.tools/wego
ffpred	0.667	Automated	Ontology mapping	Open Source	Using a machine learning approach, FFPred server predicts protein function using protein features scanned against a library of over 300 Gene Ontology annotation terms. FFPred has the capacity to annotate distant homologues and orphan protein sequences.			https://bio.tools/ffpred
noa	0.667	Automated	Ontology mapping	Open Source	The NOA (Network Ontology Analysis) plugin for Cytoscape implements the NOA algorithm for network-based enrichment analysis, which extends Gene Ontology annotations to network links, or edges.	http://www.mybiosoftware.com/noa-1-1-cytoscape-plugin-for-network-ontology-analysis.html		https://bio.tools/noa
crowdgo	0.667	Automated	Ontology mapping	Open Source	A wisdom of the crowd-based Gene Ontology annotation tool | Abstract Motivation Protein function prediction tools vary widely in their methodologies, resulting in different sets of GO terms being correctly predicted. Ideally, multiple tools are combined to achieve a higher recall of GO terms while increasing precision. Results CrowdGO combines input predictions from any number of tools and combines them based on the Gene Ontology Directed Acyclic Graph. Using each GO terms information content, the semantic similarity between GO predictions of different tools, and a Support Vector Machine model, it achieves improved precision and recall compared to each of the tools separately (Figure 1). Availability CrowdGO can be found at https: gitlab.com mreijnders CrowdGO			https://bio.tools/crowdgo
ape	0.6	Automated	Ontology mapping	Open Source	APE (the Automated Pipeline Explorer) as a command-line tool and API for automated composition of scientific workflows. APE is easily configured to a new application domain by providing it with a domain ontology and semantically annotated tools. It can then be used to synthesize purpose-specific workflows based on a specification of the available workflow inputs, desired outputs and possibly additional constraints.	https://github.com/sanctuuary/ape		https://bio.tools/ape
phenohm	0.583	Automated	Ontology mapping	Open Source	PhenoHM is a human-mouse comparative phenome-genome server that facilitates cross species identification of genes associated with orthologous phenotypes.			https://bio.tools/phenohm
nemine	0.583	Automated	Entity and concept recognition	Open Source	Recognises gene and protein names in biomedical text.			https://bio.tools/nemine
biont	0.583	Automated	Ontology mapping	Open Source	BiOnt performs relation extraction using a deep learning system. It employs four types of biomedical ontologies, namely, the Gene Ontology, the Human Phenotype Ontology, the Human Disease Ontology, and the Chemical Entities of Biological Interest, regarding gene-products, phenotypes, diseases, and chemical compounds, respectively.			https://bio.tools/biont
deca	0.583	Automated	Entity and concept recognition	Open Source	Species disambiguation system for biological named entities. The system will identify protein entities and disambiguate them according to species, by assigning NCBI Taxonomy organism IDs.			https://bio.tools/deca
bo-lstm	0.583	Automated	Ontology management	Open Source	Model to detect and classify relations in text, representing each entity of domain-specific ontologies as the sequence of its ancestors in the ontology. BO-LSTM is implemented as a recurrent neural network with long short-term memory units and using open biomedical ontologies.			https://bio.tools/bo-lstm
robot	0.583	Automated	Ontology engineering	Open Source	A Tool for Automating Ontology Workflows | ROBOT is a tool for working with Open Biomedical Ontologies | R.C. Jackson, J.P. Balhoff, E. Douglass, N.L. Harris, C.J. Mungall, and J.A. Overton. ROBOT: A tool for automating ontology workflows. BMC Bioinformatics, vol. 20, July 2019 | ROBOT is a tool for working with Open Biomedical Ontologies. It can be used as a command-line tool or as a library for any language on the Java Virtual Machine | If no --reasoner is provided, ROBOT will default to ELK. The following other reasoner options are supported: | ROBOT will always perform a logical validation check prior to automatic classification | Equivalent Classes (--equivalent-classes-allowed) | Generated Axioms(--axiom-generators)	http://robot.obolibrary.org/reason		https://bio.tools/robot
nlimed	0.583	Automated	Entity and concept recognition	Open Source	Natural Language Interface for Model Entity Discovery in Biosimulation Model Repositories | This project is to convert user query to SPARQL in the Physiome Model Repository. The information looking by users usually is model entities | Natural Language Interface for Model Entity Discovery (NLIMED) is an interface to search model entities (i.e. flux of sodium across the basolateral plasma membrane, the concentration of potassium in the portion of tissue fluid) in the biosimulation models in repositories. The interface utilises the RDF inside biosimulation models and metadata from BioPortal. Currently, the interface can retrieve model entities from the Physiome Model Repository (PMR, https://models.physiomeproject.org) and the BioModels (https://www.ebi.ac.uk/biomodels/)			https://bio.tools/nlimed
