FAIRification process,Tool,Description,Website,License,ResourceType,Type,Source,Confidence,Notes,,,,,,,,,,,,
ETL,TransMART,An Open-Source—Open-Data Community. Enabling collaboration for precision medicine through sharing integration standardization,https://i2b2transmart.org/, clinical data,,software,,,,,,,,,,,,,,,
ETL,TriFacta,Poor data quality can sink any analytics project. Trifacta helps you understand your data so you can quickly and accurately clean it up. Clean Blend & Standardize your Data. Data transformation. All the power with none of the code. Trifacta provides visual and intelligent guidance so you can get to insights faster.Automate Your Data Processes. Data pipelines. Manual repetitive data preparation processes don’t scale. Trifacta helps you build deploy and manage self-service data pipelines in minutes not months.,https://www.trifacta.com/,,software,,,,,,,,,,,,,,,,
ETL,Termite,TERMite (TERM identification, tagging & extraction) is the ultra-fast named entity recognition (NER) and extraction engine at the heart of our semantic analytics software suite.Coupled with our hand-curated VOCabs,https://www.scibite.com/platform/termite/,Termite,information extraction,,software,,,,,,,,,,,,,
ETL,fairifier,"A general-purpose FAIRifier on the basis of the OpenRefine data cleaning and wrangling tool and the RDF plugin. This FAIRifier enables a post-hoc FAIRification workflow: load an existing dataset, perform data wrangling tasks, add FAIR attributes to the data, generate a linked data version of the data and, finally, push the result to an online FAIR data infrastructure to make it accessible and discoverable. Literal values in a dataset can be replaced by identifiers either manually or by embedded, customizable script expressions. The interoperability of the dataset can be improved by connecting these identifiers into a meaningful semantic graph-structure of ontological classes and properties using the integrated RDF model editor. A provenance trail automatically keeps track of each modification and additionally enables “undo” operations and repetition of operations on similar datasets. A FAIR data export function opens up a metadata editor to provide information about the dataset itself.",,,,,,,,,,,,,,,,,,,
ETL,query tabular,galaxy only,,,,,,,,,,,,,,,,,,,
ETL,martview,Tool for data retrieval and data mining that integrates data from Ensembl. Through the web interface it allows you to apply a series of filters to create custom datasets which can be converted to several useful output formats.,,,,,,,,,,,,,,,,,,,
ETL,osirix,"OsiriX is an image processing software dedicated to DICOM images (“.dcm” / “.DCM” extension) produced by imaging equipment (MRI, CT, PET, PET-CT, SPECT-CT, Ultrasounds, …). It is fully compliant with the DICOM standard for image comunication and image file formats. OsiriX is able to receive images transferred by DICOM communication protocol from any PACS or imaging modality (C-STORE SCP/SCU, and Query/Retrieve : C-MOVE SCU/SCP, C-FIND SCU/SCP, C-GET SCU/SCP, WADO) .",,,,,,,,,,,,,,,,,,,
ETL,ms-data-core-api,"The ms-data-core-api is a free, open-source library for developing computational proteomics tools and pipelines. The Application Programming Interface, written in Java, enables rapid tool creation by providing a robust, pluggable programming interface and common data model. The data model is based on controlled vocabularies/ontologies and captures the whole range of data types included in common proteomics experimental workflows, going from spectra to peptide/protein identifications to quantitative results. The library contains readers for three of the most used Proteomics Standards Initiative standard file formats: mzML, mzIdentML, and mzTab. In addition to mzML, it also supports other common mass spectra data formats: dta, ms2, mgf, pkl, apl (text-based), mzXML and mzData (XML-based). Also, it can be used to read PRIDE XML, the original format used by the PRIDE database, one of the world-leading proteomics resources.",,,,,,,,,,,,,,,,,,,
ETL,snpator,deprecated,,,,,,,,,,,,,,,,,,,
ETL,disqover,"DISQOVER is a data integration platform for public, licensed and internal data. The Data Ingestion Engine enables transforming data into Linked Data which can be searched, navigated and analysed via the user interface and the API. The publicly accessible DISQOVER platform contains 140+ public data sources in life sciences and related domains.",,,,,,,,,,,,,,,,,,,
ETL,baget,"BAGET (Bacterial and Archaeal Gene Exploration Tool) is a web service designed to facilitate extraction of specific gene and protein sequences from completely determined prokaryotic genomes. Query results can be exported as a rich text format file for printing, archival or further analysis.
",,,,,,,,,,,,,,,,,,,
ETL,ncbi resources,,,,,,,,,,,,,,,,,,,,
ETL,repo,,,,,,,,,,,,,,,,,,,,
ETL,pga,,,,,,,,,,,,,,,,,,,,
