Tool,Score,Description,URL,bio.tools URL
ape,0.600,"APE (the Automated Pipeline Explorer) as a command-line tool and API for automated composition of scientific workflows. APE is easily configured to a new application domain by providing it with a domain ontology and semantically annotated tools. It can then be used to synthesize purpose-specific workflows based on a specification of the available workflow inputs, desired outputs and possibly additional constraints.",https://github.com/sanctuuary/ape,https://bio.tools/ape
phenohm,0.583,PhenoHM is a human-mouse comparative phenome-genome server that facilitates cross species identification of genes associated with orthologous phenotypes.,,https://bio.tools/phenohm
nemine,0.583,Recognises gene and protein names in biomedical text.,,https://bio.tools/nemine
doc2hpo,0.583,Web application for efficient and accurate Human Phenotype Ontology (HPO) concept curation.,https://github.com/stormliucong/doc2hpo,https://bio.tools/doc2hpo
biont,0.583,"BiOnt performs relation extraction using a deep learning system. It employs four types of biomedical ontologies, namely, the Gene Ontology, the Human Phenotype Ontology, the Human Disease Ontology, and the Chemical Entities of Biological Interest, regarding gene-products, phenotypes, diseases, and chemical compounds, respectively.",,https://bio.tools/biont
deca,0.583,"Species disambiguation system for biological named entities. The system will identify protein entities and disambiguate them according to species, by assigning NCBI Taxonomy organism IDs.",,https://bio.tools/deca
odae,0.583,Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,http://www.ontobee.org/ontology/ODAE,https://bio.tools/odae
bo-lstm,0.583,"Model to detect and classify relations in text, representing each entity  of domain-specific ontologies as the sequence of its ancestors in the ontology. BO-LSTM is implemented as a recurrent neural network with long short-term memory units and using open biomedical ontologies.",,https://bio.tools/bo-lstm
robot,0.583,"A Tool for Automating Ontology Workflows | ROBOT is a tool for working with Open Biomedical Ontologies | R.C. Jackson, J.P. Balhoff, E. Douglass, N.L. Harris, C.J. Mungall, and J.A. Overton. ROBOT: A tool for automating ontology workflows. BMC Bioinformatics, vol. 20, July 2019 | ROBOT is a tool for working with Open Biomedical Ontologies. It can be used as a command-line tool or as a library for any language on the Java Virtual Machine | If no --reasoner is provided, ROBOT will default to ELK. The following other reasoner options are supported: | ROBOT will always perform a logical validation check prior to automatic classification | Equivalent Classes (--equivalent-classes-allowed) | Generated Axioms(--axiom-generators)",http://robot.obolibrary.org/reason,https://bio.tools/robot
nlimed,0.583,"Natural Language Interface for Model Entity Discovery in Biosimulation Model Repositories | This project is to convert user query to SPARQL in the Physiome Model Repository. The information looking by users usually is model entities | Natural Language Interface for Model Entity Discovery (NLIMED) is an interface to search model entities (i.e. flux of sodium across the basolateral plasma membrane, the concentration of potassium in the portion of tissue fluid) in the biosimulation models in repositories. The interface utilises the RDF inside biosimulation models and metadata from BioPortal. Currently, the interface can retrieve model entities from the Physiome Model Repository (PMR, https://models.physiomeproject.org) and the BioModels (https://www.ebi.ac.uk/biomodels/)",,https://bio.tools/nlimed
gpsdb,0.583,"Collection of gene and protein names, organized by species that can be used to search for a given gene/protein name, retrieve all synonyms for this entity, and query Medline with a set of user-selected terms.",,https://bio.tools/gpsdb
ngly1,0.567,"Structured Reviews for Data and Knowledge Driven Research | The NGLY1 Deficiency Knowledge Graph | This is the repository for the NGLY1 Deficiency Knowledge Graph, the reasoning context to support hypothesis discovery for NGLY1 Deficiency-CDDG (DOID:0060728) research. The user can navigate the knowledge in the graph in the Neo4j Browser website. This knowledge graph is a structured review around the research question what is the mechanism underpinning the NGLY1-AQP1 regulation association and explaining the reduced transcriptomic expression of multiple Aquaporins in NGLY1 deficient cells?. The graph v3.2 is the first deployed in the Wikibase application for community contribution and curation",https://github.com/SuLab/ngly1-graph,https://bio.tools/ngly1
lailaps-qsm,0.500,A machine learning approach for optimizing data searching and filtering from life-science databases. It is integrated in the LAILAPS search engine.,,https://bio.tools/lailaps-qsm
dnatraffic,0.500,"Database dedicated to comprehensive and rich annotations of genome dynamics during cell life. DNAtraffic contains extensive data on the nomenclature, ontology, structure and function of proteins related to control of the DNA integrity mechanisms such as chromatin remodeling, DNA repair and damage response pathways from eight model organisms commonly used in the DNA-related study.",,https://bio.tools/dnatraffic
tm-imc,0.500,Function Prediction for G Protein-Coupled Receptors through Text Mining and Induction Matrix Completion | TM-IMC: Text Mining and Induce Matrix Completion for GPCR function prediction | TM-IMC is an algorithm for automated annotation of Gene Ontology (GO) term for G protein-coupled receptors (GPCRs) using features derived from text mining and induced matrix completion of GPCR-GO associatation matrix,,https://bio.tools/tm-imc
charprotdb,0.500,"Curated database of biochemically characterized proteins. The initial data set was collected through manual literature curation, and has been expanded by importing selected records from publicly available protein collections. Annotations include gene name, symbol and various controlled vocabulary terms, including Gene Ontology terms, Enzyme Commission number and TransportDB accession.",,https://bio.tools/charprotdb
do,0.500,"The Disease Ontology (DO) has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of human disease terms, phenotype characteristics and related medical vocabulary disease concepts.",,https://bio.tools/do
bubastis,0.500,"An ontology change tool which is able to analyse two ontologies (typically two versions of the same ontology) to highlight logical changes which have occurred and to present these changes in more or less detail, as required.",,https://bio.tools/bubastis
pmo,0.500,"A knowledge representation model towards precision medicine.

The Precision Medicine Ontology (PMO) has been developed as a standardized ontology for human precision medicine with consistent, reusable and sustainable descriptions of human disease terms, genomic molecular, phenotype characteristics and related medical vocabulary disease concepts through collaborative efforts of researchers at Institute of Medical Information, Chinese Academy of Medical Sciences. The Precision Medicine Ontology focuses on the development of a high level patients-centric ontology for the academic research, thus, it systematically integrates biomedicine vocabularies from GO, NCBI Gene, DrugBank, HPO, MeSH, SNOMED CT, etc.",,https://bio.tools/pmo
pymeshsim,0.500,"an integrative python package for biomedical named entity recognition, normalization, and comparison of MeSH terms.",,https://bio.tools/pymeshsim
a4preproc,0.500,"An R package of the ""a4"" packages collection. It is used for microarray data preprocessing where annotation information is added to experimental result data.",,https://bio.tools/a4preproc
markerhub,0.500,"Biomarker identification of hepatocellular carcinoma using a methodical literature mining strategy.

We aimed to design a hybrid system for systematic entity recognition and ranking to identify poten-tial biomarkers for liver cancer",,https://bio.tools/markerhub
ads,0.500,A novel comparison of evaluation metrics for gene ontology classifiers reveals drastic performance differences.,https://bitbucket.org/plyusnin/ads/,https://bio.tools/ads
gofuncr,0.500,"It performs a gene ontology enrichment analysis based on the ontology enrichment software FUNC. GO-annotations are obtained from OrganismDb or OrgDb packages; the GO-graph is included in the package and updated regularly. GOfuncR provides the standard candidate vs. background enrichment analysis using the hypergeometric test, as well as three additional tests.",http://bioconductor.org/packages/GOfuncR/,https://bio.tools/gofuncr
myminer,0.500,MyMiner is a free and user-friendly text annotation tool aimed to assist in carrying out the main biocuration tasks and to provide labelled data for the development of text mining systems.,http://www.mybiosoftware.com/myminer-text-mining-tools-for-biology.html,https://bio.tools/myminer
biolit,0.500,"Web sever resource that integrates scientific publications with existing biological databases. To perform this link, it searches the full text of the article for metadata such as database identifiers and ontology terms.",,https://bio.tools/biolit
propheno,0.500,"An online dataset for accelerating the complete characterization of the human protein-phenotype landscape in biomedical literature.

Identifying protein-phenotype relations is of paramount importance for applications such as uncovering rare and complex diseases. One of the best resources that captures the protein-phenotype relationships is the biomedical literature. In this work, we introduce ProPheno, a comprehensive online dataset composed of human protein phenotype mentions extracted from the complete corpora of Medline and PubMed Central Open Access. Moreover, it includes co-occurrences of protein-phenotype pairs within different spans of text such as sentences and paragraphs. We use ProPheno for completely characterizing the human protein-phenotype landscape in biomedical literature",,https://bio.tools/propheno
famplex,0.500,"It is an effective resource for improving named entity recognition, grounding, and relationship resolution in automated reading of biomedical text.",,https://bio.tools/famplex
peregrine,0.500,"Software that can be used to recognize concepts in human readable text, based on a database (thesaurus) of known terms. Multi-word terms are correctly recognized. If terms can represent multiple concepts, Peregrine will attempt to disambiguate them.",,https://bio.tools/peregrine
zooma,0.500,ZOOMA 2 is a search engine for automatic curation and a repository of annotation knowledge. It facilitates automated data annotation against a variety of ontologies by exploring context and previous annotation efforts as well as lexical matching,http://www.ebi.ac.uk/support/,https://bio.tools/zooma
onassis,0.500,A package that allows the annotation of text with ontology terms (mainly from OBO ontologies) and the computation of semantic similarity measures based on the structure of the ontology between different annotated samples.,http://bioconductor.org/packages/Onassis/,https://bio.tools/onassis
diversity workbench,0.500,"The modularized Diversity Workbench (=DWB) represents a tool suite for the management of life and environmental sciences data. The DWB is handling different kinds of bio- and geodiversity data, taxonomies, terminologies, and facilitates the processing of ecological, molecular biological, observational, collection and taxonomic data. It is capable and flexible enough to be applied as data storage system for institutional data repositories. The DWB is set up on a system of 11 xml-enabled SQL relational databases. The rich clients are installed as desktop applications. The DWB might be run as an intranet solution and provide direct interoperability with clients of interlinked DWB databases including cloud services. DWB installations are flexible in the management of highly structured data, enable sophisticated user administration and allow for user-adapted data entry and data exchange. Further, the DWB design facilitates the dynamic integration of web services and external data resources.",https://diversityworkbench.net/Portal/Software,https://bio.tools/diversity workbench
pubrecheck,0.500,"How to improve automated discoverability and interpretability.

Data-driven research in biomedical science requires structured, computable data. Increasingly, these data are created with support from automated text mining. Text-mining tools have rapidly matured: although not perfect, they now frequently provide outstanding results. We describe 10 straightforward writing tips-and a web tool, PubReCheck-guiding authors to help address the most common cases that remain difficult for text-mining tools. We anticipate these guides will help authors' work be found more readily and used more widely, ultimately increasing the impact of their work and the overall benefit to both authors and readers.",,https://bio.tools/pubrecheck
bioner,0.500,"Multitask learning for biomedical named entity recognition with cross-sharing structure | This repository is a Biomedical Named Entity Recognition model. The code is based on XuezheMax/NeuroNLP2 | Python 3+, PyTorch < 1.0, Gensim >= 0.12.0 | In the root of the repository, first make the tmp directory:",,https://bio.tools/bioner
j-express,0.500,"It is a comprehensive portable software package for analysis and visualization of microarray data. It gives access to methods for unsupervised analysis, supervised analysis and visualisation in an integrated and flexible way. Its efficiency allows interactive clustering of thousands of expression profiles on standard personal computers. Supervised analysis can be performed on samples by simple sample annotation or on genes through tools for metabolic pathway analysis and Gene Ontology mapping.",http://www.mybiosoftware.com/j-express-2009-analysis-visualization-microarray-data.html,https://bio.tools/j-express
fairdatapoint,0.500,"FAIRDataPoint is a REST api for creating, storing and servering FAIR metadata. The metadata contents are in this api are generated semi-automatically according to the FAIR Data Point software specification document. In the current version of api we support GET, POST and PATCH requests.",https://github.com/FAIRDataTeam/FAIRDataPoint,https://bio.tools/fairdatapoint
goa,0.500,"The UniProt GO annotation program aims to provide high-quality Gene Ontology (GO) annotations to proteins in the UniProt Knowledgebase (UniProtKB). The assignment of GO terms to UniProt records is an integral part of UniProt biocuration. UniProt manual and electronic GO annotations are supplemented with manual annotations supplied by external collaborating GO Consortium groups, to ensure a comprehensive GO annotation dataset is supplied to users.",,https://bio.tools/goa
phenotator,0.500,Enter phenotypes descriptions and annotate these description with ontology terms using the entity/quality (EQ) pattern.,http://www.ebi.ac.uk/support/,https://bio.tools/phenotator
gene ontology,0.500,"The Gene Ontology resource.

Source ontology files for the Gene Ontology.

The Gene Ontology (GO) project is a major bioinformatics initiative to develop a computational representation of our evolving knowledge of how genes encode biological functions at the molecular, cellular and tissue system levels.",http://geneontology.org/stats.html,https://bio.tools/gene ontology
monarch initiative,0.500,"An integrative data and analytic platform connecting phenotypes to genotypes across species.

Combine genotype and phenotype data across species for patient variant prioritization, functional annotation and pathogenicity determination.

Securely share & discuss patients with colleagues all around the world.",,https://bio.tools/monarch initiative
umlsmapper,0.433,Cross-lingual Semantic Annotation of Biomedical Literature.,,https://bio.tools/umlsmapper
itextmine,0.417,Integrated text-mining system for large-scale knowledge extraction from the literature.,,https://bio.tools/itextmine
mtl-bc-lbc-bioner,0.417,"Dataset-aware multi-task learning approaches for biomedical named entity recognition.

Named entity recognition is a critical and fundamental task for biomedical text mining. Recently, researchers have focused on exploiting deep neural networks for biomedical named entity recognition (Bio-NER). The performance of deep neural networks on a single dataset mostly depends on data quality and quantity while high-quality data tends to be limited in size. To alleviate task-specific data limitation, some studies explored the multi-task learning (MTL) for Bio-NER and achieved state-of-the-art performance. However, these MTL methods did not make full use of information from various datasets of Bio-NER. The performance of state-of-the-art MTL method was significantly limited by the number of training datasets",,https://bio.tools/mtl-bc-lbc-bioner
plan2l,0.417,"A web based tool that integrates text mining and information extraction techniques to access useful information for analyzing genetic, cellular and molecular aspects of Arabidposis thaliana.",,https://bio.tools/plan2l
receem,0.417,"A graph-based method for reconstructing entities from coordination ellipsis in medical text.

Coordination ellipsis is a linguistic phenomenon particularly abundant in science jargon and in medical text. We aim to contribute a generalizable unsupervised method to reconstruct concepts from medical coordination elliptical expressions.",,https://bio.tools/receem
sci.ai,0.417,"sci.AI is a free platform that “understands” research papers and “explains” them to analytics and search algorithms.  

The platform takes all biomedical papers, trials, and projects and interlinks research findings in a semantic graph. Then, it mimics human reasoning to return discovered pathways and support research",,https://bio.tools/sci.ai
relna,0.417,Text mining tool for relation extraction of Protein to DNA and to RNA interactions.,https://github.com/ashishbaghudana/mthesis-ashish,https://bio.tools/relna
pubtator,0.417,Web server for text based mining to assist biocuration.,,https://bio.tools/pubtator
bionda - biomarker database,0.417,"The BIONDA biomarker database provides structured information on all biomarker candidates published in PubMed articles. There is no limitation to any kind of diseases. To this end, PubMed article abstracts and renowned databases such as UniProt and Human Disease Ontology are used as sources for BIONDA’s database entries. These are acquired automatically and updated regularly using text mining methods. BIONDA is available freely via a user-friendly web interface. As a specific characteristic, BIONDA’s database entries are rated by a scoring approach estimating biomarker reliability.",https://www.ruhr-uni-bochum.de/mpc/software/mature/index.html.en#BIONDA,https://bio.tools/bionda - biomarker database
geneview,0.417,Webserver that lets you search scientific articles using keywords and identifiers for specific biological entities. It has advanced features like: recognizing biological entities like genes and SNPs.,,https://bio.tools/geneview
pubtator central,0.417,"Web-based application that provides computer-annotated biomedical concepts, such as genes and mutations, in PubMed citations and PMC full-text articles.",,https://bio.tools/pubtator central
facta plus,0.417,"Real-time text-mining system for finding and visualizing indirect associations between biomedical concepts from MEDLINE abstracts. The system can be used as a text search engine like PubMed, with additional features to help users to discover and visualize indirect associations between important biomedical concepts such as genes, diseases and chemical compounds.",,https://bio.tools/facta plus
organisms,0.417,"ORGANISMS is a weekly updated web resource that facilitates taxonomy-aware search and retrieval of articles. To this end, the the resource performs named entity recognition of terms from the NCBI Taxonomy on PubMed abstracts. The resource further provides download files of organism-disease and organism-tissue associations extracted through automatic text mining.",,https://bio.tools/organisms
yeast metaboliner,0.417,"Yeast MetaboliNER is a tool to automatically identify metabolite names in the literature, and associate structures where possible, to define the reported yeast metabolome.",,https://bio.tools/yeast metaboliner
lungmap,0.333,"A comparison of alveolar formation and maturation within mouse and human lung.

Anatomic Ontology for Mouse Lung Maturation.

Cell Ontology for Mouse Lung Maturation.

Anatomic Ontology for Human Lung Maturation.

Cell Ontology for Human Lung Maturation.

Search BREATH to explore the developing lung.

LungMAP provides users with a tool to annotate images within the website. This webpage provides instructions on how to annotate an image using the tool.

Image annotation to convey specific information about an image, importantly, in the context of the image increases its value exponentially, especially with resolution on the molecular level.

LungMAP human and mouse ontologies reference page provides links to the LungMAP Ontology Browser, Release Notes, and text files for the scientific community to view the ontologies.",https://www.lungmap.net/resources/annotation/,https://bio.tools/lungmap
coeus,0.333,"Semantic web application network that combines a set of algorithms to streamline the creation of new semantic web-based knowledge management systems. In a single package, it provides the tools to create new applications, including advanced integration connectors for different data sources along with ontology mapping techniques.",https://github.com/bioinformatics-ua/COEUS,https://bio.tools/coeus
gogene,0.333,"Performs high-throughput text mining to complement annotation of genes. It supports search for genes in PubMed, EntrezGene and BLAST.",,https://bio.tools/gogene
aber-owl,0.333,Framework for automatically accessing information that is annotated with ontologies or contains terms used to label classes in ontologies.,,https://bio.tools/aber-owl
proloc-go,0.333,ProLoc-GO is an efficient sequence-based method by mining informative Gene Ontology terms for predicting protein subcellular localization.,http://www.mybiosoftware.com/proloc-go-utilizing-informative-go-terms-for-sequence-based-prediction-of-protein-subcellular-localization.html,https://bio.tools/proloc-go
bioecs,0.333,"An ad hoc search engine to help biologists to isolate EST clusters corresponding to their research target, based on cross references between TIGR and Unigene.",http://www.mybiosoftware.com/bioecs-1-0-biology-easy-cluster-search.html,https://bio.tools/bioecs
rdfscape,0.333,"This is a project that brings Semantic Web “features” to the popular Systems Biology software Cytoscape. It allows to query, visualize and reason on ontologies represented in OWL or RDF within Cytoscape.",http://www.mybiosoftware.com/rdfscape-0-4-2-semantic-web-meets-systems-biology.html,https://bio.tools/rdfscape
iot-stream,0.333,"A Lightweight Ontology for Internet of Things Data Streams and Its Use with Data Analytics and Event Detection Services.

A Lightweight Ontology for IoT Data Streams.

T. Elsaleh, M. Bermudez-Edo, S. Enshaeifar, S. T. Acton, R. Rezvani and P. Barnaghi, ""IoT-Stream: A Lightweight Ontology for Internet of Things Data Streams,"" 2019 Global IoT Summit (GIoTS), Aarhus, Denmark, 2019, pp. 1-6.

||| CORRECT NAME OF TOOL COULD ALSO BE 'IoT' (bio.tools/IoT)",http://purl.org/iot/ontology/iot-stream,https://bio.tools/iot-stream
kegganim,0.333,Web-based tool for visualizing experimental data in the context of biological pathways. It produces animations or static images of KEGG pathways by overlaying public or user uploaded high-thourghput data over handdrawn KEGG pathway maps.,,https://bio.tools/kegganim
plato plugin for autocomplete on ontologies,0.333,"General-use embeddable JavaScript widget used for browsing and searching ontologies. It is generically configurable for use with any ontology served by the Ontology Lookup Service (OLS). It’s features include the ability to visualise matching ontology terms in their rightful place in the tree, and to expand and collapse nodes as desired.",,https://bio.tools/plato plugin for autocomplete on ontologies
drawglycan-snfg,0.333,"Rendering glycans and annotating glycopeptide mass spectra.

Render glycans and glycopeptides with fragmentation info. using the Symbolic Nomenclature for Glycans [SNFG].

Virtual Glycome Release notes FAQ.

IUPAC-condensed Input (glycan or glycopeptide):.

If you use this software, please cite: Cheng, K. et al., 'DrawGlycan-SNFG: a robust tool to render glycans and glycopeptides with fragmentation information', Glycobiology 27(3): 200-205, 2017 ( Abstract & Full Text )",https://github.com/neel-lab/DrawGlycan-SNFGv2,https://bio.tools/drawglycan-snfg
circular gene ontology (cirgo),0.333,Visualises non-redundant two-level hierarchically structured ontology terms from gene expression data in a 2D space.,,https://bio.tools/circular gene ontology (cirgo)
simdef,0.333,An efficient method for measuring semantic similarity of GO terms using their GO definitions.,http://www.mybiosoftware.com/simdef-definition-based-semantic-similarity-measure-of-go-terms-for-functional-similarity-analysis-of-genes.html,https://bio.tools/simdef
glycoglyph,0.333,"Welcome to the GlycoGlyph Introduction Tutorial.
A glycan visualizing, drawing and naming application.",,https://bio.tools/glycoglyph
ontoget,0.333,Get ontology term(s).,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontoget
phenoscape,0.333,Phenoscape is a Logical Model of Homology for Comparative Biology.,https://github.com/phenoscape/phenoscape-owl-tools,https://bio.tools/phenoscape
emma2 ws,0.333,A MAGE-compliant system for the collaborative analysis and integration of microarray data.,https://www.biocatalogue.org/services/3747,https://bio.tools/emma2 ws
the comprehensive antibiotic resistance database (card),0.333,Antibiotic resistome surveillance with the comprehensive antibiotic resistance database.,https://card.mcmaster.ca/genomes,https://bio.tools/the comprehensive antibiotic resistance database (card)
goblet,0.333,"BLAST one or more protein or nucleotide sequences against databases that have sequences mapped to Gene Ontology (GO) terms.  Results can be viewed for individual sequences, or as survey statistics for the group if more than one sequence is submitted.",https://jib.tools/details.php?id=53,https://bio.tools/goblet
lipid mini-on,0.333,Lipid Mining and Ontology (Lipid Mini-On) - mining and ontology tool for enrichment analysis of lipidomic data.,https://github.com/PNNL-Comp-Mass-Spec/LipidMiniOn/issues,https://bio.tools/lipid mini-on
ontocount,0.333,Count ontology term(s).,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontocount
cedar ondemand,0.333,It is a chrome browser extension that enables users to seamlessly enter ontology-based metadata using existing web-based submission forms provided by metadata repositories. The use of controlled vocabularies for entering metadata can help improve the quality of metadata submitted to repositories and ultimately contributes to the creation of FAIR data.,https://github.com/ahmadchan/CEDAROnDemand,https://bio.tools/cedar ondemand
allenricher,0.333,"A comprehensive gene set function enrichment tool for both model and non-model species. This is a tool designed for functional genomic and large-scale genetic studies from which large number of gene lists (e.g. differentially expressed gene sets, co-expressed gene sets, or differential epigenomic modification gene sets etc) are continuously generated. AllEnricher incorporates information from different public resources and provides an easy way for biologists to make sense out of gene lists.",,https://bio.tools/allenricher
funcprop,0.333,Novel label propagation techniques applied to many different types of gene and protein data in order to predict protein function via Gene Ontology annotations.,http://www.mybiosoftware.com/funcprop-function-computational-propagation.html,https://bio.tools/funcprop
pageman,0.333,PageMan is a tool to get a quick overview of multiparallel experiments. PageMan also helps comparing experiments from different organisms.,http://www.mybiosoftware.com/pageman-0-12-annotates-investigates-condenses-microarray-data-context-functional-ontologies.html,https://bio.tools/pageman
meshsim,0.333,Provide for measuring semantic similarity over MeSH headings and MEDLINE documents.,,https://bio.tools/meshsim
parameciumdb,0.333,"Online community database for Paramecium species. Contains annotation of genome sequences and features, genome-wide data sets, advanced capabilities to query, retrieve, visualize and compare data.",,https://bio.tools/parameciumdb
ebi search,0.333,"High-performance, full-featured text searches across all EMBL-EBI databases or in selected databases available from EMBL-EBI.",https://www.biocatalogue.org/services/3763,https://bio.tools/ebi search
skimmr,0.333,"Facilitating knowledge discovery in life sciences by machine-aided skim reading.

SKIMMR - a research prototype for machine-aided skim reading (includes back-end code for generating a graph-like knowledge base from texts and a standalone HTTP server-based UI)",,https://bio.tools/skimmr
