Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
rdfscape,0.850,"This is a project that brings Semantic Web “features” to the popular Systems Biology software Cytoscape. It allows to query, visualize and reason on ontologies represented in OWL or RDF within Cytoscape.","['Systems biology', 'Ontology and terminology', 'Biology']",['Desktop application'],30.0,http://www.mybiosoftware.com/rdfscape-0-4-2-semantic-web-meets-systems-biology.html,https://bio.tools/rdfscape,378.0,291.0,343.2
ontobrowser,0.850,"The tool was developed to manage ontologies (and controlled terminologies e.g. CDISC SEND). The primary goal of the tool is to provide an online collaborative solution for expert curators to map code list terms (sourced from multiple systems/databases) to preferred ontology terms. Other key features include visualisation of ontologies in hierarchical/graph format, advanced search capabilities, peer review/approval workflow and web service access to data.","['Ontology and terminology', 'Data identity and mapping']","['Web API', 'Web application']",0.0,https://github.com/Novartis/ontobrowser,https://bio.tools/ontobrowser,378.0,215.0,312.79999999999995
fasto,0.850,FHIR And SSN based Type 1 diabetes Ontology (FASTO) is an OWL 2 ontology for real time management of insulin for diabetes patients especially type 1 diabetics.,"['Allergy, clinical immunology and immunotherapeutics', 'Ontology and terminology', 'Surgery']",['Ontology'],2.0,,https://bio.tools/fasto,378.0,236.0,321.2
gbol,0.850,"The Empusa code generator and its application to GBOL.

GBOL; Genome Biology Ontology Language.

To enable interoperability of genome annotations, we have developed the Genome Biology Ontology Language (GBOL) and associated stack (GBOL stack).

A group is a collection of several projects.

If you organize your projects under a group, it works like a folder.","['Model organisms', 'Ontology and terminology', 'Cell biology', 'Genomics']",['Ontology'],1.0,http://www.gitlab.com/GBOL,https://bio.tools/gbol,378.0,227.0,317.6
predictprotein open,0.850,Prediction of various aspects of protein structure and function. A user may submit a query to the server without registration.,"['Sequence analysis', 'Function analysis', 'Machine learning', 'Structure analysis', 'Proteins', 'Data mining', 'Ontology and terminology', 'Data visualisation']",['Web application'],1452.0,,https://bio.tools/predictprotein open,378.0,358.0,370.0
iot-stream,0.850,"A Lightweight Ontology for Internet of Things Data Streams and Its Use with Data Analytics and Event Detection Services.

A Lightweight Ontology for IoT Data Streams.

T. Elsaleh, M. Bermudez-Edo, S. Enshaeifar, S. T. Acton, R. Rezvani and P. Barnaghi, ""IoT-Stream: A Lightweight Ontology for Internet of Things Data Streams,"" 2019 Global IoT Summit (GIoTS), Aarhus, Denmark, 2019, pp. 1-6.

||| CORRECT NAME OF TOOL COULD ALSO BE 'IoT' (bio.tools/IoT)","['Workflows', 'Model organisms', 'Ontology and terminology']",['Web service'],0.0,http://purl.org/iot/ontology/iot-stream,https://bio.tools/iot-stream,378.0,215.0,312.79999999999995
the brenda tissue ontology (bto),0.850,"BRENDA Tissue Ontology is a structured encyclopedia of tissue terms. BTO contains different anatomical structures, tissues, cell types and cell lines, classified under generic categories corresponding to the rules and formats of the Gene Ontology Consortium and organized as a directed acyclic graph (DAG). A versatile web interface with several search and navigation functionalities allows convenient online access to the BTO and to the enzymes isolated from the tissues.","['Biobank', 'Enzymes', 'Microarray experiment', 'Model organisms', 'Ontology and terminology']",['Database portal'],66.0,,https://bio.tools/the brenda tissue ontology (bto),378.0,308.0,350.0
quickgo,0.850,A fast browser for Gene Ontology terms and annotations.,['Ontology and terminology'],['Web application'],315.0,,https://bio.tools/quickgo,378.0,336.0,361.2
clinical metadata ontology (cmdo),0.850,A simple classification scheme for data elements of clinical data based on semantics,"['Allergy, clinical immunology and immunotherapeutics', 'Ontology and terminology', 'Preclinical and clinical studies']",['Ontology'],0.0,http://bioportal.bioontology.org/ontologies/CMDO/,https://bio.tools/clinical metadata ontology (cmdo),378.0,215.0,312.79999999999995
gsso,0.850,"The Gender, Sex, and Sexual Orientation (GSSO) Ontology | GSSO is the Gender, Sex, and Sex Orientation ontology, including terms related to gender identity and expression, sexual and romantic identity and orientation, and sexual and reproductive behavior | Gender, Sex, and Sexual Orientation","['Pathology', 'Ontology and terminology', 'Gender medicine']",['Command-line tool'],1.0,,https://bio.tools/gsso,378.0,227.0,317.6
robot,0.850,"A Tool for Automating Ontology Workflows | ROBOT is a tool for working with Open Biomedical Ontologies | R.C. Jackson, J.P. Balhoff, E. Douglass, N.L. Harris, C.J. Mungall, and J.A. Overton. ROBOT: A tool for automating ontology workflows. BMC Bioinformatics, vol. 20, July 2019 | ROBOT is a tool for working with Open Biomedical Ontologies. It can be used as a command-line tool or as a library for any language on the Java Virtual Machine | If no --reasoner is provided, ROBOT will default to ELK. The following other reasoner options are supported: | ROBOT will always perform a logical validation check prior to automatic classification | Equivalent Classes (--equivalent-classes-allowed) | Generated Axioms(--axiom-generators)","['Workflows', 'Ontology and terminology', 'Software engineering']",[],0.0,http://robot.obolibrary.org/reason,https://bio.tools/robot,378.0,215.0,312.79999999999995
fobi,0.850,FOBI (Food-Biomarker Ontology) an ontology to represent food intake data and associate it with metabolomic data. It is composed of  two interconnected sub-ontologies. One is a “Food Ontology” consisting of raw foods and prepared foods while the second is a “Biomarker Ontology” containing food intake biomarkers classified by their chemical classes.,"['Small molecules', 'Metabolomics', 'Biomarkers', 'Nutritional science', 'Ontology and terminology']",['Ontology'],0.0,https://polcastellano.shinyapps.io/FOBI_Visualization_Tool/,https://bio.tools/fobi,378.0,215.0,312.79999999999995
circular gene ontology (cirgo),0.850,Visualises non-redundant two-level hierarchically structured ontology terms from gene expression data in a 2D space.,"['Ontology and terminology', 'Data visualisation', 'Gene expression']","['Command-line tool', 'Desktop application']",5.0,,https://bio.tools/circular gene ontology (cirgo),378.0,248.0,326.0
gopubmed,0.850,Tool that allows users to explore the results of PubMed queries in the context of Gene Ontology (GO) terms.,['Ontology and terminology'],['Web application'],321.0,,https://bio.tools/gopubmed,378.0,337.0,361.6
genease,0.850,"Real time bioinformatics tool for multi-omics and disease ontology exploration, analysis and visualization.","['Pathology', 'Ontology and terminology', 'Omics']",['Web application'],1.0,,https://bio.tools/genease,378.0,227.0,317.6
euadb,0.850,"EUAdb is database for COVID-19 test development that contains standardized information about Eemergency Use Authorizations-issued tests and is focused on RT-qPCR diagnostic tests, or high complexity molecular-based laboratory developed tests.","['Ontology and terminology', 'Probes and primers', 'PCR experiment', 'Sequencing']",['Database portal'],0.0,,https://bio.tools/euadb,378.0,215.0,312.79999999999995
neuroscience information framework,0.850,"A dynamic inventory of Web-based neuroscience resources: data, materials, and tools accessible via any computer connected to the Internet. An initiative of the NIH Blueprint for Neuroscience Research, the Neuroscience Information Framework advances neuroscience research by enabling discovery and access to public research data and tools worldwide through an open source, networked environment.","['Molecular interactions, pathways and networks', 'Ontology and terminology', 'Informatics', 'Neurobiology']",['Web application'],182.0,,https://bio.tools/neuroscience information framework,378.0,328.0,358.0
aber-owl,0.850,Framework for automatically accessing information that is annotated with ontologies or contains terms used to label classes in ontologies.,"['Ontology and terminology', 'Data submission, annotation and curation']",['Database portal'],37.0,,https://bio.tools/aber-owl,378.0,298.0,346.0
gene ontology,0.850,"The Gene Ontology resource.

Source ontology files for the Gene Ontology.

The Gene Ontology (GO) project is a major bioinformatics initiative to develop a computational representation of our evolving knowledge of how genes encode biological functions at the molecular, cellular and tissue system levels.","['Genetics', 'Molecular interactions, pathways and networks', 'Plant biology', 'Model organisms', 'Ontology and terminology']",['Web application'],0.0,http://geneontology.org/stats.html,https://bio.tools/gene ontology,378.0,215.0,312.79999999999995
seqexpress,0.850,"Comprehensive analysis and visualisation package for gene expression experiments. It is used to assign functional enrichment scores to clusters, using a combination of specially developed techniques and general statistical methods. These results can be explored using the in built ontology browsing tool or through the generated web pages.","['Ontology and terminology', 'Gene expression']",['Desktop application'],0.0,http://www.mybiosoftware.com/seqexpress-1-3-2-analysis-desktop-visualisation-program-gene-expression-experiments.html,https://bio.tools/seqexpress,378.0,215.0,312.79999999999995
bubastis,0.850,"An ontology change tool which is able to analyse two ontologies (typically two versions of the same ontology) to highlight logical changes which have occurred and to present these changes in more or less detail, as required.","['Data governance', 'Ontology and terminology', 'Natural language processing', 'Gene expression']",['Web application'],176.0,,https://bio.tools/bubastis,378.0,327.0,357.6
ontology lookup service,0.850,Repository for biomedical ontologies that aims to provide a single point of access to the latest ontology versions. Users can browse the ontologies through the web interface and programatic access is provided via a RESTful API.,['Ontology and terminology'],"['Web API', 'Web application']",257.0,https://github.com/EBISPOT/OLS/,https://bio.tools/ontology lookup service,378.0,332.0,359.6
the protein ontology,0.850,"It provides an ontological representation of protein-related entities by explicitly defining them and showing the relationships between them. Each PRO term represents a distinct class of entities (including specific modified forms, orthologous isoforms, and protein complexes) ranging from the taxon-neutral to the taxon-specific.","['Gene and protein families', 'Protein variants', 'Proteins', 'Model organisms', 'Ontology and terminology']",['Database portal'],76.0,,https://bio.tools/the protein ontology,378.0,311.0,351.2
sinopedia,0.850,"Linked Data Services platform for decentralized knowledge base | LodView is a powerful RDF viewer, IRI dereferencer and opensource SPARQL navigator | It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English | Lorem Ipsum is simply dummy text of the printing and typesetting industry","['Ontology and terminology', 'Natural language processing', 'Machine learning']",[],0.0,,https://bio.tools/sinopedia,378.0,215.0,312.79999999999995
pyiomica,0.850,"Longitudinal Omics Analysis and Trend Identification.

This repository contains PyIOmica, a Python package that provides bioinformatics utilities for analyzing (dynamic) omics datasets. PyIOmica extends MathIOmica usage to Python and implements new visualizations and computational tools for graph analyses. The documentation is available at Read the Docs: https://pyiomica.readthedocs.io/en/latest/.

Welcome to PyIOmica’s documentation! — pyiomica 1.1.2 documentation.

Free document hosting provided by Read the Docs","['Molecular interactions, pathways and networks', 'Ontology and terminology', 'Bioinformatics']",[],0.0,,https://bio.tools/pyiomica,378.0,215.0,312.79999999999995
ramigo,0.850,"R interface sending requests to AmiGO visualize, retrieving DAG GO trees, parsing GraphViz DOT format files and exporting GML files for Cytoscape. Also uses RCytoscape to interactively display AmiGO trees in Cytoscape.",['Ontology and terminology'],"['Command-line tool', 'Library']",23.0,,https://bio.tools/ramigo,378.0,282.0,339.6
ufo,0.850,"A tool for unifying biomedical ontology-based semantic similarity calculation, enrichment analysis and visualization.","['Pathology', 'Protein interactions', 'Biomarkers', 'Genotype and phenotype', 'Ontology and terminology']",[],0.0,,https://bio.tools/ufo,378.0,215.0,312.79999999999995
bioportal,0.850,"BioPortal is a web accessible open repository of biomedical ontologies. Users may browse, search and visualize ontologies, as well as participate in the evaluation and evolution of ontology reviews by adding notes, corrections, reviews, etc. Data from other sources such as GEO, ClinicalTrials.gov and ArrayExpress may also be integrated with the ontologies.","['Mapping', 'Ontology and terminology', 'Medicine']",['Web application'],770.0,,https://bio.tools/bioportal,378.0,350.0,366.79999999999995
go-figure,0.850,"Summary Visualisations of Gene Ontology Terms with GO-Figure!.

GO-Figure! offers a simple solution for command-line plotting of informative summary visualisations of lists of GO terms, designed to support exploratory data analyses and multiple dataset comparisons.","['Genetics', 'Ontology and terminology', 'Evolutionary biology']",['Command-line tool'],0.0,,https://bio.tools/go-figure,378.0,215.0,312.79999999999995
plato plugin for autocomplete on ontologies,0.850,"General-use embeddable JavaScript widget used for browsing and searching ontologies. It is generically configurable for use with any ontology served by the Ontology Lookup Service (OLS). It’s features include the ability to visualise matching ontology terms in their rightful place in the tree, and to expand and collapse nodes as desired.","['Data management', 'Ontology and terminology']",['Web application'],48.0,,https://bio.tools/plato plugin for autocomplete on ontologies,378.0,304.0,348.4
odae,0.850,Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,"['Ontology and terminology', 'Medicinal chemistry', 'Geriatric medicine']",['Ontology'],0.0,http://www.ontobee.org/ontology/ODAE,https://bio.tools/odae,378.0,215.0,312.79999999999995
plant experimental assay ontology (peao),0.500,"The Plant domain has been the subject of several attempts to structure and formally define terms and corresponding relations, such as their anatomical features, developmental stages, and the application of particular experimental procedures to a biological problem.  An ontology dedicated to the description of these experimental procedures, regardless of the scientific questions that prompted the assays. This ontology includes entities from three distinct realms (biological, physical and data), which include both experimental products, their relations and the protocols describing their manipulation.","['Plant biology', 'Ontology and terminology']",['Ontology'],0.0,https://bitbucket.org/PlantExpAssay/ontology/issues?status=new&status=open,https://bio.tools/plant experimental assay ontology (peao),339.0,215.0,289.4
list ontologies,0.500,This service returns the Ontologies registered on the NIF Ontoquest Server.,"['Data management', 'Ontology and terminology']",['Web API'],0.0,https://www.biocatalogue.org/services/2713,https://bio.tools/list ontologies,339.0,215.0,289.4
goa,0.500,"The UniProt GO annotation program aims to provide high-quality Gene Ontology (GO) annotations to proteins in the UniProt Knowledgebase (UniProtKB). The assignment of GO terms to UniProt records is an integral part of UniProt biocuration. UniProt manual and electronic GO annotations are supplemented with manual annotations supplied by external collaborating GO Consortium groups, to ensure a comprehensive GO annotation dataset is supplied to users.","['Model organisms', 'Ontology and terminology', 'Data submission, annotation and curation', 'Plant biology']",['Database portal'],198.0,,https://bio.tools/goa,339.0,329.0,335.0
spex2,0.500,"An automatic system for embryonic ISH image processing, which can extract, transform, compare, classify and cluster spatial gene expression patterns in Drosophila embryos.","['Genetics', 'Ontology and terminology', 'RNA', 'Gene expression']","['Command-line tool', 'Workflow']",28.0,http://www.mybiosoftware.com/spex2-automated-concise-extraction-spatial-gene-expression-patterns-fly-embryo-ish-image.html,https://bio.tools/spex2,339.0,289.0,319.0
clin-ik-links,0.500,"CLIN-IK-LINKS is a web-based platform that enables users to create, modify and delete mappings as well as to define and execute workflows. The CLIN-IK-LINKS platform allows the composition and execution of clinical data transformation workflows to convert EHR data into EHR and/or semantic web standards.","['Workflows', 'Mapping', 'Ontology and terminology']",['Web application'],0.0,,https://bio.tools/clin-ik-links,339.0,215.0,289.4
annot,0.500,"a Django-based sample, reagent, and experiment metadata tracking system.

Annot and information about what Annot is can be found here: https://gitlab.com/biotransistor/annot . This here is just tutorial material for the tutorial described here: http://annot.readthedocs.io/en/latest/man_tutorial.html .

Welcome to Annotamentum’s Documentation. — Annot 5 documentation.

Welcome to Annotamentum’s Documentation.¶.

Django admin based sample, reagent and experiment metadata tracking.

Summary: Annot is a web application, developed for biological wetlab experiment layout, sample and reagent logging, so that data is ready for sharing and analysis. On its core annot makes use of the acpipe_anjson library and acjson - assay coordinate json - file format. The use of controlled vocabulary from ontologies for sample and reagent annotation is enforced. Annot’s modular implementation can be adapted to a variety of experimental paradigms","['Data submission, annotation and curation', 'Proteomics', 'Microarray experiment', 'Ontology and terminology', 'Gene expression']",[],0.0,,https://bio.tools/annot,339.0,215.0,289.4
vsm,0.500,"General-purpose Interface for Biocuration and Knowledge Representation.

vsm-box is a web-component for entering and showing a VSM-sentence. – Explanation:.


For end-users: a vsm-box is an elegant and flexible interface for capturing structured information – and esp. easy when they can fill out VSM-template sentences.","['Systems biology', 'Literature and language', 'Machine learning', 'Model organisms', 'Ontology and terminology']",[],0.0,https://github.com/vsmjs/vsm-box,https://bio.tools/vsm,339.0,215.0,289.4
jprogo,0.500,Tool for the functional interpretation of prokaryotic microarray data using Gene Ontology information.,"['Model organisms', 'Ontology and terminology', 'Microarray experiment', 'Gene expression']",['Web application'],26.0,,https://bio.tools/jprogo,339.0,287.0,318.20000000000005
gpsdb,0.500,"Collection of gene and protein names, organized by species that can be used to search for a given gene/protein name, retrieve all synonyms for this entity, and query Medline with a set of user-selected terms.","['Gene and protein families', 'Model organisms', 'Ontology and terminology', 'Proteins']",['Database portal'],17.0,,https://bio.tools/gpsdb,339.0,276.0,313.8
peregrine,0.500,"Software that can be used to recognize concepts in human readable text, based on a database (thesaurus) of known terms. Multi-word terms are correctly recognized. If terms can represent multiple concepts, Peregrine will attempt to disambiguate them.","['Rare diseases', 'Data mining', 'Ontology and terminology', 'Literature and language']",['Desktop application'],0.0,,https://bio.tools/peregrine,339.0,215.0,289.4
vio,0.500,"ontology classification and study of vaccine responses given various experimental and analytical conditions.

VIO: Vaccine Investigation Ontology.

Statistics of Vaccine Investigation Ontology.

IRI: https://raw.githubusercontent.com/vaccineontology/VIO/master/src/ontology/vio.owl.

VIO and its usage in studying Yellow Fever vaccine-induced host response were presented in the VDOS-2018 workshop: https://sites.google.com/site/vdosworkshop/VDOS-2018.

Note: This version of statistics metrics does not include any instance data yet. This feature will be added in the future","['Molecular interactions, pathways and networks', 'Preclinical and clinical studies', 'Allergy, clinical immunology and immunotherapeutics', 'Ontology and terminology', 'Transcriptomics']",[],0.0,https://github.com/vaccineontology/VIO,https://bio.tools/vio,339.0,215.0,289.4
udsmprot,0.500,"UDSMProt is an algorithm for the classification of proteins based on the sequence of amino acids alone. Its key component is a self-supervised pretraining step based on a language modeling task. The model is then subsequently finetuned to specific classification tasks. In our paper we considered enzyme class classification, gene ontology prediction and remote homology detection showcasing the excellent performance of UDSMProt.","['Gene and protein families', 'Natural language processing', 'Small molecules', 'Enzymes', 'Ontology and terminology']",[],0.0,,https://bio.tools/udsmprot,339.0,215.0,289.4
togogenome,0.500,"Genome database that is purely based on the Semantic Web technology, which enables the integration of heterogeneous data and flexible semantic searches.","['Genotype and phenotype', 'Ontology and terminology', 'Taxonomy']","['Web application', 'Database portal']",1.0,https://github.com/togogenome/,https://bio.tools/togogenome,339.0,227.0,294.20000000000005
smog,0.500,"> HOMEPAGE MISSING! | > NAME EQUAL TO (PUB. DIFFERENT) bio.tools/smog | A Lightweight Tool for Object-Spreadsheet Mapping | In the life science domain, experts are usually familiar with spreadsheet software and often use it in their daily work to collect and structure required domain knowledge. The processing and analysis of spreadsheet data is an important task that must be supported by efficient software solutions. A typical application scenario is for example an integration of spreadsheet data (specified or derived) in an ontology to provide reasoning or search. Different converter tools were developed to support a spreadsheet-to-ontology transformation. Such tools allow often only a relatively simple structure of the spreadsheet template or they require complex mapping processes to map the spreadsheet and ontological entities","['Ontology and terminology', 'Biology']",[],0.0,,https://bio.tools/smog,339.0,215.0,289.4
hyper,0.500,An R Package for Geneset Enrichment Workflows | Please visit https://montilab.github.io/hypeR-docs/ | hypeR currently requires the latest version of R (>= 3.6.0) to be installed directly from Github or Bioconductor. To install with R (>= 3.5.0) see below. Use with R (< 3.5.0) is not recommended,"['Workflows', 'Ontology and terminology']",['Command-line tool'],0.0,,https://bio.tools/hyper,339.0,215.0,289.4
calchas,0.500,"A web based framework that takes advantage of domain specific ontologies, and Natural Language Processing, aiming to empower exploration of biomedical resources via semantic-based querying and search. The NLP engine analyzes the input free-text query and translates it into targeted queries with terms from the underlying ontology. Each query is passed to the semantically-annotated tools repository, and based on similarity matches, it ranks the available resources.","['Medical informatics', 'Ontology and terminology', 'Natural language processing', 'Bioinformatics']",['Web application'],18.0,http://calchas.ics.forth.gr,https://bio.tools/calchas,339.0,278.0,314.6
ajia,0.500,Jointly integrating VCF-based variants and OWL-based biomedical ontologies in MongoDB.,"['Mapping', 'Ontology and terminology', 'Sequencing']",['Script'],0.0,,https://bio.tools/ajia,339.0,215.0,289.4
ontocount,0.500,Count ontology term(s).,['Ontology and terminology'],['Command-line tool'],4828.0,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontocount,339.0,378.0,354.6
shinygo,0.500,ShinyGO is a graphical enrichment tool for animals and plants.,"['Molecular interactions, pathways and networks', 'Plant biology', 'Zoology', 'Ontology and terminology', 'Gene expression']",[],0.0,,https://bio.tools/shinygo,339.0,215.0,289.4
pageman,0.500,PageMan is a tool to get a quick overview of multiparallel experiments. PageMan also helps comparing experiments from different organisms.,"['Organisms', 'Ontologies']",['Desktop application'],221.0,http://www.mybiosoftware.com/pageman-0-12-annotates-investigates-condenses-microarray-data-context-functional-ontologies.html,https://bio.tools/pageman,339.0,330.0,335.4
bibliome variant database,0.500,The Bibliome Variant Database is a collection of variants mined from open-access primary literature. All variants included in the database have been mapped to the human genome and are presented in a manner ordered by genomic location. The goal of this database is to provide a searchable structured resource listing variant-containing references.,"['Literature and language', 'Genomics', 'Mapping', 'Ontology and terminology', 'Gene expression']",['Database portal'],0.0,,https://bio.tools/bibliome variant database,339.0,215.0,289.4
inaturalist,0.500,Methods for broad-scale plant phenology assessments using citizen scientists’ photographs | iNaturalist.org is a joint initiative of the California Academy of Sciences and the National Geographic Society | Explore and share your observations from the natural world,"['Biodiversity', 'Plant biology', 'Ontology and terminology']",['Database portal'],0.0,,https://bio.tools/inaturalist,339.0,215.0,289.4
ontoquest ws,0.500,Download a NIF ontology file.,"['Data management', 'Ontology and terminology']",['Web API'],0.0,https://www.biocatalogue.org/services/2722,https://bio.tools/ontoquest ws,339.0,215.0,289.4
chipinfo,0.500,Extracts gene annotation and gene ontology information from databases like NetAffx and Gene Ontology (GO) for microarray analysis. Output is provided in tabular format and the program is available for download for use on your own machine.,"['Ontology and terminology', 'Probes and primers', 'Microarray experiment', 'Gene expression']",['Web application'],81.0,,https://bio.tools/chipinfo,339.0,313.0,328.6
vapur,0.500,"A Search Engine to Find Related Protein.

Vapur is an online entity-oriented search engine for the COVID-19 anthology. Vapur is empowered with a semantic inverted index that is created through named entity recognition and relation extraction on CORD-19 abstracts.

In order to run scripts from scratch, please follow these:.

Enter a chemical or protein/gene and let Vapur find related bio-molecules in 150,000 COVID-19 publications!.","['Pathology', 'Ontology and terminology', 'Natural language processing', 'Enzymes']",[],0.0,https://github.com/boun-tabi/vapur,https://bio.tools/vapur,339.0,215.0,289.4
flytf,0.500,"Database of computationally predicted and/or experimentally verified site-specific transcription factors (TFs) in the fruit fly Drosophila melanogaster. This database contains information on the manual curation of 1052 FlyBase identifiers, which are putative site-specific transcription factors, based on FlyBase/Gene Ontology annotation or the DBD Transcription Factor Database.","['Gene expression', 'Ontology and terminology', 'Gene transcripts', 'Transcription factors and regulatory sites']",['Database portal'],44.0,,https://bio.tools/flytf,339.0,302.0,324.20000000000005
the comprehensive antibiotic resistance database (card),0.500,Antibiotic resistome surveillance with the comprehensive antibiotic resistance database.,"['Metagenomics', 'Public health and epidemiology', 'Ontology and terminology', 'DNA polymorphism', 'Whole genome sequencing']",['Database portal'],0.0,https://card.mcmaster.ca/genomes,https://bio.tools/the comprehensive antibiotic resistance database (card),339.0,215.0,289.4
phexpo,0.500,"Phexpo a package for bidirectional enrichment analysis of phenotypes and chemicals.

Phexpo is an R package for enrichment analysis of phenotypes (from the Human Phenotype Ontology(Köhler et al., 2019)) and chemicals.","['Toxicology', 'Molecular interactions, pathways and networks', 'Small molecules', 'Genotype and phenotype', 'Ontology and terminology']",[],0.0,,https://bio.tools/phexpo,339.0,215.0,289.4
superfamily,0.500,"It provides protein domain assignments at the structural classification of protein superfamily level for completely sequenced genomes, metagenomes and other gene collections such as UniProt. Our scoring component now uses HMMER3. A cloud-based pipeline was implemented and is publicly available. The SUPERFAMILY reference tree of life has been improved allowing the user to highlight a chosen superfamily, family or domain architecture on the tree of life.","['Gene and protein families', 'Metagenomics', 'Protein folds and structural domains', 'Genotype and phenotype', 'Ontology and terminology']",['Database portal'],91.0,,https://bio.tools/superfamily,339.0,316.0,329.8
meccog,0.500,A knowledge representation framework for genetic disease mechanism.,"['Pathology', 'Molecular interactions, pathways and networks', 'Machine learning', 'Genotype and phenotype', 'Ontology and terminology']",['Web application'],0.0,,https://bio.tools/meccog,339.0,215.0,289.4
