Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
sbgn bricks,0.450,"SBGN Bricks Ontology as a tool to describe recurring concepts in molecular networks.

SBGN Bricks aims at facilitating the development of new tools for the template-based construction of molecular networks and for their semantic annotation. It is also intended as a teaching aid for those learning SBGN and systems biology.

SBGN bricks are building blocks representing basic biological patterns. They can be used for assembly into different kinds of networks (metabolic, regulatory networks).","['Endocrinology and metabolism', 'Systems biology', 'Transcription factors and regulatory sites', 'Molecular interactions, pathways and networks', 'Ontology and terminology']",[],0.0,http://sbgnbricks.sourceforge.net,https://bio.tools/sbgn bricks,590.0,315.0,480.0
ape,0.450,"APE (the Automated Pipeline Explorer) as a command-line tool and API for automated composition of scientific workflows. APE is easily configured to a new application domain by providing it with a domain ontology and semantically annotated tools. It can then be used to synthesize purpose-specific workflows based on a specification of the available workflow inputs, desired outputs and possibly additional constraints.","['Workflows', 'Ontology and terminology', 'Bioinformatics']","['Command-line tool', 'Library']",0.0,https://github.com/sanctuuary/ape,https://bio.tools/ape,590.0,315.0,480.0
biont,0.438,"BiOnt performs relation extraction using a deep learning system. It employs four types of biomedical ontologies, namely, the Gene Ontology, the Human Phenotype Ontology, the Human Disease Ontology, and the Chemical Entities of Biological Interest, regarding gene-products, phenotypes, diseases, and chemical compounds, respectively.","['Pathology', 'Natural language processing', 'Machine learning', 'Genotype and phenotype', 'Ontology and terminology']",['Command-line tool'],0.0,,https://bio.tools/biont,588.0,315.0,478.8
deca,0.438,"Species disambiguation system for biological named entities. The system will identify protein entities and disambiguate them according to species, by assigning NCBI Taxonomy organism IDs.","['Taxonomy', 'Natural language processing', 'Machine learning', 'Model organisms', 'Ontology and terminology']",['Web application'],36.0,,https://bio.tools/deca,588.0,472.0,541.6
gpsdb,0.438,"Collection of gene and protein names, organized by species that can be used to search for a given gene/protein name, retrieve all synonyms for this entity, and query Medline with a set of user-selected terms.","['Gene and protein families', 'Model organisms', 'Ontology and terminology', 'Proteins']",['Database portal'],17.0,,https://bio.tools/gpsdb,588.0,427.0,523.6
dodo,0.438,"DODO is a graph database to facilitate access and interaction with disease and phenotype ontologies. The aim of DODO is to allow an easier way to interact and explore disease ontologies and their identifiers. The database is build on Neo4j and incorporates different ontologies with an accompagnying R package that allows easy access, exploration, and definition of disease concepts of interest. It can work as the intermediate player to facilitate access and exhaustive extraction of information from other life science databases without the need to harmonize these up front.","['Pathology', 'Imaging', 'Workflows', 'Genotype and phenotype', 'Ontology and terminology']",['Ontology'],0.0,https://github.com/Elysheba/DODO,https://bio.tools/dodo,588.0,315.0,478.8
bo-lstm,0.438,"Model to detect and classify relations in text, representing each entity  of domain-specific ontologies as the sequence of its ancestors in the ontology. BO-LSTM is implemented as a recurrent neural network with long short-term memory units and using open biomedical ontologies.","['Molecular interactions, pathways and networks', 'Ontology and terminology', 'Natural language processing']",['Command-line tool'],8.0,,https://bio.tools/bo-lstm,588.0,396.0,511.20000000000005
covid-19 ontology,0.438,"The COVID-19 ontology covers the role of molecular and cellular entities in virus-host-interactions, in the virus life cycle, as well as a wide spectrum of medical and epidemiological concepts linked to COVID-19.","['Public health and epidemiology', 'Preclinical and clinical studies', 'Natural language processing', 'Virology', 'Ontology and terminology']",['Ontology'],0.0,https://github.com/covid-19-ontology/covid-19,https://bio.tools/covid-19 ontology,588.0,315.0,478.8
odae,0.438,Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,"['Ontology and terminology', 'Medicinal chemistry', 'Geriatric medicine']",['Ontology'],0.0,http://www.ontobee.org/ontology/ODAE,https://bio.tools/odae,588.0,315.0,478.8
doubler,0.438,DOUBLER is a tool for Unified Representation Learning of Biological Entities and Documents for Predicting Protein–Disease Relationships.,"['Pathology', 'Genotype and phenotype', 'Ontology and terminology', 'Machine learning']",['Script'],0.0,,https://bio.tools/doubler,588.0,315.0,478.8
terminformer,0.438,"unsupervised term mining and analysis in biomedical literature.

Terminology is the most basic information that researchers and literature analysis systems need to understand. Mining terms and revealing the semantic relationships between terms can help biomedical researchers find solutions to some major health problems and motivate researchers to explore innovative biomedical research issues. However, how to mine terms from biomedical literature remains a challenge. At present, the research on text segmentation in natural language processing (NLP) technology has not been well applied in the biomedical field. Named entity recognition models usually require a large amount of training corpus, and the types of entities that the model can recognize are limited. Besides, dictionary-based methods mainly use pre-established vocabularies to match the text. However, this method can only match terms in a specific field, and the process of collecting terms is time-consuming and labour-intensive","['Medicine', 'Ontology and terminology', 'Natural language processing', 'Machine learning']",[],0.0,,https://bio.tools/terminformer,588.0,315.0,478.8
nlimed,0.438,"Natural Language Interface for Model Entity Discovery in Biosimulation Model Repositories | This project is to convert user query to SPARQL in the Physiome Model Repository. The information looking by users usually is model entities | Natural Language Interface for Model Entity Discovery (NLIMED) is an interface to search model entities (i.e. flux of sodium across the basolateral plasma membrane, the concentration of potassium in the portion of tissue fluid) in the biosimulation models in repositories. The interface utilises the RDF inside biosimulation models and metadata from BioPortal. Currently, the interface can retrieve model entities from the Physiome Model Repository (PMR, https://models.physiomeproject.org) and the BioModels (https://www.ebi.ac.uk/biomodels/)","['Ontology and terminology', 'Natural language processing', 'Bioengineering']",['Command-line tool'],0.0,,https://bio.tools/nlimed,588.0,315.0,478.8
doc2hpo,0.438,Web application for efficient and accurate Human Phenotype Ontology (HPO) concept curation.,"['Genotype and phenotype', 'Ontology and terminology', 'Natural language processing']",['Web application'],2.0,https://github.com/stormliucong/doc2hpo,https://bio.tools/doc2hpo,588.0,350.0,492.8
ontokin,0.438,"An Ontology for Chemical Kinetic Reaction Mechanisms.

A knowledge-graph built with the integration of semantic technologies and software agents for enhancing the experience of chemists in querying chemical kinetic reaction mechanisms. This User Interface (UI) demonstrates the query capability of OntoKin","['Literature and language', 'Small molecules', 'Enzymes', 'Chemistry', 'Ontology and terminology']",['Web application'],0.0,http://theworldavatar.com/ontokin,https://bio.tools/ontokin,588.0,315.0,478.8
phenohm,0.438,PhenoHM is a human-mouse comparative phenome-genome server that facilitates cross species identification of genes associated with orthologous phenotypes.,"['Pathology', 'Mouse clinic', 'Model organisms', 'Genotype and phenotype', 'Ontology and terminology']",['Web application'],17.0,,https://bio.tools/phenohm,588.0,427.0,523.6
robot,0.438,"A Tool for Automating Ontology Workflows | ROBOT is a tool for working with Open Biomedical Ontologies | R.C. Jackson, J.P. Balhoff, E. Douglass, N.L. Harris, C.J. Mungall, and J.A. Overton. ROBOT: A tool for automating ontology workflows. BMC Bioinformatics, vol. 20, July 2019 | ROBOT is a tool for working with Open Biomedical Ontologies. It can be used as a command-line tool or as a library for any language on the Java Virtual Machine | If no --reasoner is provided, ROBOT will default to ELK. The following other reasoner options are supported: | ROBOT will always perform a logical validation check prior to automatic classification | Equivalent Classes (--equivalent-classes-allowed) | Generated Axioms(--axiom-generators)","['Workflows', 'Ontology and terminology', 'Software engineering']",[],0.0,http://robot.obolibrary.org/reason,https://bio.tools/robot,588.0,315.0,478.8
nemine,0.438,Recognises gene and protein names in biomedical text.,"['Gene and protein families', 'Statistics and probability', 'Proteins', 'Data mining', 'Ontology and terminology']",['Web application'],29.0,,https://bio.tools/nemine,588.0,458.0,536.0
charprotdb,0.375,"Curated database of biochemically characterized proteins. The initial data set was collected through manual literature curation, and has been expanded by importing selected records from publicly available protein collections. Annotations include gene name, symbol and various controlled vocabulary terms, including Gene Ontology terms, Enzyme Commission number and TransportDB accession.","['Enzymes', 'Ontology and terminology', 'Data submission, annotation and curation', 'Proteins']",['Database portal'],19.0,,https://bio.tools/charprotdb,573.0,432.0,516.6
bioner,0.375,"Multitask learning for biomedical named entity recognition with cross-sharing structure | This repository is a Biomedical Named Entity Recognition model. The code is based on XuezheMax/NeuroNLP2 | Python 3+, PyTorch < 1.0, Gensim >= 0.12.0 | In the root of the repository, first make the tmp directory:","['Molecular interactions, pathways and networks', 'Natural language processing', 'Machine learning']",[],3.0,,https://bio.tools/bioner,573.0,364.0,489.4
gene ontology,0.375,"The Gene Ontology resource.

Source ontology files for the Gene Ontology.

The Gene Ontology (GO) project is a major bioinformatics initiative to develop a computational representation of our evolving knowledge of how genes encode biological functions at the molecular, cellular and tissue system levels.","['Genetics', 'Molecular interactions, pathways and networks', 'Plant biology', 'Model organisms', 'Ontology and terminology']",['Web application'],0.0,http://geneontology.org/stats.html,https://bio.tools/gene ontology,573.0,315.0,469.8
a4preproc,0.375,"An R package of the ""a4"" packages collection. It is used for microarray data preprocessing where annotation information is added to experimental result data.","['Ontology and terminology', 'Microarray experiment']","['Command-line tool', 'Library']",671.0,,https://bio.tools/a4preproc,573.0,575.0,573.8
ads,0.375,A novel comparison of evaluation metrics for gene ontology classifiers reveals drastic performance differences.,"['Ontology and terminology', 'Machine learning', 'Bioinformatics']",['Workflow'],0.0,https://bitbucket.org/plyusnin/ads/,https://bio.tools/ads,573.0,315.0,469.8
j-express,0.375,"It is a comprehensive portable software package for analysis and visualization of microarray data. It gives access to methods for unsupervised analysis, supervised analysis and visualisation in an integrated and flexible way. Its efficiency allows interactive clustering of thousands of expression profiles on standard personal computers. Supervised analysis can be performed on samples by simple sample annotation or on genes through tools for metabolic pathway analysis and Gene Ontology mapping.","['Mapping', 'Ontology and terminology', 'samples']",['Desktop application'],0.0,http://www.mybiosoftware.com/j-express-2009-analysis-visualization-microarray-data.html,https://bio.tools/j-express,573.0,315.0,469.8
dtranner,0.375,DTranNER is a tool for biomedical named entity recognition with deep learning-based label-label transition model.,"['Data mining', 'Natural language processing', 'Machine learning', 'Bioinformatics']",[],0.0,,https://bio.tools/dtranner,573.0,315.0,469.8
bubastis,0.375,"An ontology change tool which is able to analyse two ontologies (typically two versions of the same ontology) to highlight logical changes which have occurred and to present these changes in more or less detail, as required.","['Data governance', 'Ontology and terminology', 'Natural language processing', 'Gene expression']",['Web application'],176.0,,https://bio.tools/bubastis,573.0,540.0,559.8
pubrecheck,0.375,"How to improve automated discoverability and interpretability.

Data-driven research in biomedical science requires structured, computable data. Increasingly, these data are created with support from automated text mining. Text-mining tools have rapidly matured: although not perfect, they now frequently provide outstanding results. We describe 10 straightforward writing tips-and a web tool, PubReCheck-guiding authors to help address the most common cases that remain difficult for text-mining tools. We anticipate these guides will help authors' work be found more readily and used more widely, ultimately increasing the impact of their work and the overall benefit to both authors and readers.","['Medicine', 'Natural language processing', 'Biomedical science', 'Data mining', 'Ontology and terminology']",[],0.0,,https://bio.tools/pubrecheck,573.0,315.0,469.8
biolit,0.375,"Web sever resource that integrates scientific publications with existing biological databases. To perform this link, it searches the full text of the article for metadata such as database identifiers and ontology terms.","['Ontology and terminology', 'Proteins']",['Web application'],26.0,,https://bio.tools/biolit,573.0,451.0,524.2
gofuncr,0.375,"It performs a gene ontology enrichment analysis based on the ontology enrichment software FUNC. GO-annotations are obtained from OrganismDb or OrgDb packages; the GO-graph is included in the package and updated regularly. GOfuncR provides the standard candidate vs. background enrichment analysis using the hypergeometric test, as well as three additional tests.",['Ontology and terminology'],['Library'],0.0,http://bioconductor.org/packages/GOfuncR/,https://bio.tools/gofuncr,573.0,315.0,469.8
phenotator,0.375,Enter phenotypes descriptions and annotate these description with ontology terms using the entity/quality (EQ) pattern.,"['Data management', 'Ontology and terminology']",['Web application'],12.0,http://www.ebi.ac.uk/support/,https://bio.tools/phenotator,573.0,414.0,509.40000000000003
do,0.375,"The Disease Ontology (DO) has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of human disease terms, phenotype characteristics and related medical vocabulary disease concepts.","['Pathology', 'Molecular interactions, pathways and networks', 'Rare diseases', 'Medical informatics', 'Ontology and terminology']","['Web application', 'Database portal']",436.0,,https://bio.tools/do,573.0,561.0,568.2
fairdatapoint,0.375,"FAIRDataPoint is a REST api for creating, storing and servering FAIR metadata. The metadata contents are in this api are generated semi-automatically according to the FAIR Data Point software specification document. In the current version of api we support GET, POST and PATCH requests.","['Ontology and terminology', 'Informatics']","['Web API', 'Web application']",0.0,https://github.com/FAIRDataTeam/FAIRDataPoint,https://bio.tools/fairdatapoint,573.0,315.0,469.8
markerhub,0.375,"Biomarker identification of hepatocellular carcinoma using a methodical literature mining strategy.

We aimed to design a hybrid system for systematic entity recognition and ranking to identify poten-tial biomarkers for liver cancer","['Pathology', 'Oncology', 'Natural language processing', 'Machine learning', 'Biomarkers']",['Web application'],0.0,,https://bio.tools/markerhub,573.0,315.0,469.8
famplex,0.375,"It is an effective resource for improving named entity recognition, grounding, and relationship resolution in automated reading of biomedical text.","['Protein families', 'Data mining', 'Natural language processing']",['Database portal'],0.0,,https://bio.tools/famplex,573.0,315.0,469.8
dnatraffic,0.375,"Database dedicated to comprehensive and rich annotations of genome dynamics during cell life. DNAtraffic contains extensive data on the nomenclature, ontology, structure and function of proteins related to control of the DNA integrity mechanisms such as chromatin remodeling, DNA repair and damage response pathways from eight model organisms commonly used in the DNA-related study.","['Pathology', 'Molecular interactions, pathways and networks', 'Epigenetics', 'Model organisms', 'Ontology and terminology']",['Database portal'],2.0,,https://bio.tools/dnatraffic,573.0,350.0,483.8
zooma,0.375,ZOOMA 2 is a search engine for automatic curation and a repository of annotation knowledge. It facilitates automated data annotation against a variety of ontologies by exploring context and previous annotation efforts as well as lexical matching,"['Systems biology', 'Ontology and terminology', 'Data identity and mapping']",['Web application'],61.0,http://www.ebi.ac.uk/support/,https://bio.tools/zooma,573.0,496.0,542.2
diversity workbench,0.375,"The modularized Diversity Workbench (=DWB) represents a tool suite for the management of life and environmental sciences data. The DWB is handling different kinds of bio- and geodiversity data, taxonomies, terminologies, and facilitates the processing of ecological, molecular biological, observational, collection and taxonomic data. It is capable and flexible enough to be applied as data storage system for institutional data repositories. The DWB is set up on a system of 11 xml-enabled SQL relational databases. The rich clients are installed as desktop applications. The DWB might be run as an intranet solution and provide direct interoperability with clients of interlinked DWB databases including cloud services. DWB installations are flexible in the management of highly structured data, enable sophisticated user administration and allow for user-adapted data entry and data exchange. Further, the DWB design facilitates the dynamic integration of web services and external data resources.","['Literature and language', 'Environmental science', 'Data management', 'Experimental design and studies', 'Biology', 'Ontology and terminology', 'Omics']",['Workbench'],0.0,https://diversityworkbench.net/Portal/Software,https://bio.tools/diversity workbench,573.0,315.0,469.8
propheno,0.375,"An online dataset for accelerating the complete characterization of the human protein-phenotype landscape in biomedical literature.

Identifying protein-phenotype relations is of paramount importance for applications such as uncovering rare and complex diseases. One of the best resources that captures the protein-phenotype relationships is the biomedical literature. In this work, we introduce ProPheno, a comprehensive online dataset composed of human protein phenotype mentions extracted from the complete corpora of Medline and PubMed Central Open Access. Moreover, it includes co-occurrences of protein-phenotype pairs within different spans of text such as sentences and paragraphs. We use ProPheno for completely characterizing the human protein-phenotype landscape in biomedical literature","['Oncology', 'Natural language processing', 'Rare diseases', 'Genotype and phenotype', 'Ontology and terminology']",[],0.0,,https://bio.tools/propheno,573.0,315.0,469.8
onassis,0.375,A package that allows the annotation of text with ontology terms (mainly from OBO ontologies) and the computation of semantic similarity measures based on the structure of the ontology between different annotated samples.,['Ontology and terminology'],['Library'],0.0,http://bioconductor.org/packages/Onassis/,https://bio.tools/onassis,573.0,315.0,469.8
peregrine,0.375,"Software that can be used to recognize concepts in human readable text, based on a database (thesaurus) of known terms. Multi-word terms are correctly recognized. If terms can represent multiple concepts, Peregrine will attempt to disambiguate them.","['Rare diseases', 'Data mining', 'Ontology and terminology', 'Literature and language']",['Desktop application'],0.0,,https://bio.tools/peregrine,573.0,315.0,469.8
pymeshsim,0.375,"an integrative python package for biomedical named entity recognition, normalization, and comparison of MeSH terms.","['Pathology', 'Genotype and phenotype', 'GWAS study']",[],0.0,,https://bio.tools/pymeshsim,573.0,315.0,469.8
tm-imc,0.375,Function Prediction for G Protein-Coupled Receptors through Text Mining and Induction Matrix Completion | TM-IMC: Text Mining and Induce Matrix Completion for GPCR function prediction | TM-IMC is an algorithm for automated annotation of Gene Ontology (GO) term for G protein-coupled receptors (GPCRs) using features derived from text mining and induced matrix completion of GPCR-GO associatation matrix,"['Physiology', 'Ontology and terminology', 'Natural language processing']",[],0.0,,https://bio.tools/tm-imc,573.0,315.0,469.8
goa,0.375,"The UniProt GO annotation program aims to provide high-quality Gene Ontology (GO) annotations to proteins in the UniProt Knowledgebase (UniProtKB). The assignment of GO terms to UniProt records is an integral part of UniProt biocuration. UniProt manual and electronic GO annotations are supplemented with manual annotations supplied by external collaborating GO Consortium groups, to ensure a comprehensive GO annotation dataset is supplied to users.","['Model organisms', 'Ontology and terminology', 'Data submission, annotation and curation', 'Plant biology']",['Database portal'],198.0,,https://bio.tools/goa,573.0,544.0,561.4000000000001
commodar,0.375,Literature mining for context-specific molecular relations using multimodal representations (COMMODAR). Biological contextual information helps understand various phenomena occurring in the biological systems consisting of complex molecular relations.,"['Molecular interactions, pathways and networks', 'Natural language processing', 'Machine learning', 'Data mining', 'Ontology and terminology']",['Script'],0.0,,https://bio.tools/commodar,573.0,315.0,469.8
pmo,0.375,"A knowledge representation model towards precision medicine.

The Precision Medicine Ontology (PMO) has been developed as a standardized ontology for human precision medicine with consistent, reusable and sustainable descriptions of human disease terms, genomic molecular, phenotype characteristics and related medical vocabulary disease concepts through collaborative efforts of researchers at Institute of Medical Information, Chinese Academy of Medical Sciences. The Precision Medicine Ontology focuses on the development of a high level patients-centric ontology for the academic research, thus, it systematically integrates biomedicine vocabularies from GO, NCBI Gene, DrugBank, HPO, MeSH, SNOMED CT, etc.","['Ontology and terminology', 'Complementary medicine', 'Taxonomy', 'Personalised medicine', 'Molecular medicine']",[],0.0,,https://bio.tools/pmo,573.0,315.0,469.8
monarch initiative,0.375,"An integrative data and analytic platform connecting phenotypes to genotypes across species.

Combine genotype and phenotype data across species for patient variant prioritization, functional annotation and pathogenicity determination.

Securely share & discuss patients with colleagues all around the world.","['Pathology', 'Natural language processing', 'Nutritional science', 'Genotype and phenotype', 'Ontology and terminology']",['Command-line tool'],0.0,,https://bio.tools/monarch initiative,573.0,315.0,469.8
