Tool,keywords_score,Description,Topics,Operations,Inputs,Outputs,Type,Citations,URL,biotoolsID,License,keyword_rank,citations_rank,comp_score
THBP,0.562,"Mapping anatomical related entities to human body parts based on wikipedia in discharge summaries | *: Background Consisting of dictated free-text documents such as discharge summaries, medical narratives are widely used in medical natural language processing. Relationships between anatomical entities and human body parts are crucial for building medical text mining applications. To achieve this, we establish a mapping system consisting of a Wikipedia-based scoring algorithm and a named entity normalization method (NEN). The mapping system makes full use of information available on Wikipedia, which is a comprehensive Internet medical knowledge base","['Natural language processing', 'Anatomy', 'Ontology and terminology']","['Mapping', 'Named-entity and concept recognition', 'Clustering']",[],[],[],0.0,,THBP,,638.0,225.0,472.8
ACELA,0.562,Tool that aims to reduce the human effort required to produce a gold standard corpus of named entity (NE) annotations.,"['Natural language processing', 'Human biology', 'Machine learning', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Data handling', 'Named-entity and concept recognition', 'Text annotation']",[],[],['Web application'],8.0,,acela,,638.0,385.0,536.8
RuDReC,0.562,The Russian Drug Reaction Corpus and Neural Models for Drug Reactions and Effectiveness Detection in User Reviews.,"['Allergy, clinical immunology and immunotherapeutics', 'Ontology and terminology', 'Pharmacovigilance', 'Pharmacology']","['Aggregation', 'Text annotation', 'Named-entity and concept recognition']",[],[],[],0.0,,rudrec,,638.0,225.0,472.8
MyMiner,0.562,MyMiner is a free and user-friendly text annotation tool aimed to assist in carrying out the main biocuration tasks and to provide labelled data for the development of text mining systems.,"['Biology', 'Data mining']",['Text mining'],[],[],['Command-line tool'],21.0,http://www.mybiosoftware.com/myminer-text-mining-tools-for-biology.html,myminer,,638.0,450.0,562.8
ANDDigest,0.562,"A web-based module of ANDSystem for the search of knowledge in the scientific literature.
The rapid growth of scientific literature has rendered the task of finding relevant information one of the critical problems in almost any research. Search engines, like Google Scholar, Web of Knowledge, PubMed, Scopus, and others, are highly effective in document search; however, they do not allow knowledge extraction. In contrast to the search engines, text-mining systems provide extraction of knowledge with representations in the form of semantic networks. Of particular interest are tools performing a full cycle of knowledge management and engineering, including automated retrieval, integration, and representation of knowledge in the form of semantic networks, their visualization, and analysis. STRING, Pathway Studio, MetaCore, and others are well-known examples of such products","['Natural language processing', 'Data mining', 'Machine learning', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Data retrieval', 'Named-entity and concept recognition', 'Literature search', 'Network visualisation']",[],[],[],0.0,,anddigest,,638.0,225.0,472.8
CRAFT,0.562,The Colorado Richly Annotated Full Text Corpus (CRAFT) is a manually annotated corpus consisting of 67 full-text biomedical journal articles from the PubMed Central Open Access Subset.,"['Natural language processing', 'Data submission, annotation and curation', 'Ontology and terminology']","['Database search', 'Named-entity and concept recognition', 'Text annotation']",[],[],['Ontology'],0.0,http://bionlp-corpora.sourceforge.net/CRAFT/index.shtml,CRAFT,CC-BY-3.0,638.0,225.0,472.8
CrowdGO,0.500,"A wisdom of the crowd-based Gene Ontology annotation tool | Abstract Motivation Protein function prediction tools vary widely in their methodologies, resulting in different sets of GO terms being correctly predicted. Ideally, multiple tools are combined to achieve a higher recall of GO terms while increasing precision. Results CrowdGO combines input predictions from any number of tools and combines them based on the Gene Ontology Directed Acyclic Graph. Using each GO terms information content, the semantic similarity between GO predictions of different tools, and a Support Vector Machine model, it achieves improved precision and recall compared to each of the tools separately (Figure 1). Availability CrowdGO can be found at https: gitlab.com mreijnders CrowdGO","['Ontology and terminology', 'Ecology']",[],[],[],['Command-line tool'],0.0,,CrowdGO,GPL-3.0,631.0,225.0,468.59999999999997
FFPred,0.500,"Using a machine learning approach, FFPred server predicts protein function using protein features scanned against a library of over 300 Gene Ontology annotation terms. FFPred has the capacity to annotate distant homologues and orphan protein sequences.","['Protein sites, features and motifs', 'Proteins', 'Function analysis', 'Machine learning', 'Ontology and terminology']","['Protein feature detection', 'Gene functional annotation', 'Protein function prediction']",[],[],['Web application'],37.0,,ffpred,,631.0,489.0,574.2
FlyTF,0.500,"Database of computationally predicted and/or experimentally verified site-specific transcription factors (TFs) in the fruit fly Drosophila melanogaster. This database contains information on the manual curation of 1052 FlyBase identifiers, which are putative site-specific transcription factors, based on FlyBase/Gene Ontology annotation or the DBD Transcription Factor Database.","['Gene expression', 'Gene transcripts', 'Ontology and terminology', 'Transcription factors and regulatory sites']","['Regulatory element prediction', 'Gene functional annotation', 'Transcription factor binding site prediction', 'Transcriptional regulatory element prediction']",[],[],['Database portal'],51.0,,flytf,,631.0,506.0,581.0
WEGO2.0,0.500,"Web Gene Ontology Annotation Plot. Visualizing, comparing and plotting GO (Gene Ontology) annotation results.","['Literature and language', 'Ontology and terminology']",['Visualisation'],[],[],['Web application'],130.0,,wego2.0,,631.0,553.0,599.8
WEGO,0.500,Web Gene Ontology Annotation Plot (WEGO) helps visualize the annotation of sets of genes.  WEGO can compare gene annotation datasets by plotting the distribution of gene ontology (GO) annotation results into a histogram.,['Ontology and terminology'],"['Visualisation', 'Box-Whisker plot plotting', 'Gene set testing', 'Gene functional annotation']",[],[],['Web application'],2080.0,,wego,,631.0,622.0,627.4
Komenti,0.500,"A semantic text mining framework.

Komenti is a tool for semantic query, annotation, and analysis of text using ontologies.","['Natural language processing', 'Workflows', 'Ontology and terminology']","['Text mining', 'Query and retrieval', 'Text annotation']",[],[],['Command-line tool'],0.0,,komenti,Apache-2.0,631.0,225.0,468.59999999999997
NOA,0.500,"The NOA (Network Ontology Analysis) plugin for Cytoscape implements the NOA algorithm for network-based enrichment analysis, which extends Gene Ontology annotations to network links, or edges.","['Systems biology', 'Ontology and terminology']",['Enrichment analysis'],[],[],['Plug-in'],98.0,http://www.mybiosoftware.com/noa-1-1-cytoscape-plugin-for-network-ontology-analysis.html,noa,,631.0,541.0,595.0
LocDB,0.500,"Manually curated database with experimental annotations for the subcellular localizations of proteins in Homo sapiens (HS, human) and Arabidopsis thaliana (AT, thale cress). Each database entry contains the experimentally derived localization in Gene Ontology (GO) terminology, the experimental annotation of localization, localization predictions by state-of-the-art methods and, where available, the type of experimental information.","['Data submission, annotation and curation', 'Proteins', 'Ontology and terminology']","['Protein feature detection', 'Protein subcellular localisation prediction', 'Data retrieval']",[],[],['Database portal'],32.0,,locdb,,631.0,479.0,570.2
SBGN bricks,0.450,"SBGN Bricks Ontology as a tool to describe recurring concepts in molecular networks.

SBGN Bricks aims at facilitating the development of new tools for the template-based construction of molecular networks and for their semantic annotation. It is also intended as a teaching aid for those learning SBGN and systems biology.

SBGN bricks are building blocks representing basic biological patterns. They can be used for assembly into different kinds of networks (metabolic, regulatory networks).","['Ontology and terminology', 'Transcription factors and regulatory sites', 'Systems biology', 'Molecular interactions, pathways and networks', 'Endocrinology and metabolism']","['Mapping', 'Data retrieval', 'Sequence assembly']",[],[],[],0.0,http://sbgnbricks.sourceforge.net,sbgn_bricks,,623.0,225.0,463.8
APE,0.450,"APE (the Automated Pipeline Explorer) as a command-line tool and API for automated composition of scientific workflows. APE is easily configured to a new application domain by providing it with a domain ontology and semantically annotated tools. It can then be used to synthesize purpose-specific workflows based on a specification of the available workflow inputs, desired outputs and possibly additional constraints.","['Bioinformatics', 'Workflows', 'Ontology and terminology']",['Retention time prediction'],[],[],"['Command-line tool', 'Library']",1.0,https://github.com/sanctuuary/ape,ape,Apache-2.0,623.0,271.0,482.20000000000005
OntoKin,0.438,"An Ontology for Chemical Kinetic Reaction Mechanisms.

A knowledge-graph built with the integration of semantic technologies and software agents for enhancing the experience of chemists in querying chemical kinetic reaction mechanisms. This User Interface (UI) demonstrates the query capability of OntoKin","['Enzymes', 'Literature and language', 'Small molecules', 'Chemistry', 'Ontology and terminology']","['Query and retrieval', 'Named-entity and concept recognition', 'Phasing']",[],[],['Web application'],5.0,http://theworldavatar.com/ontokin,OntoKin,,621.0,364.0,518.1999999999999
BiOnt,0.438,"BiOnt performs relation extraction using a deep learning system. It employs four types of biomedical ontologies, namely, the Gene Ontology, the Human Phenotype Ontology, the Human Disease Ontology, and the Chemical Entities of Biological Interest, regarding gene-products, phenotypes, diseases, and chemical compounds, respectively.","['Natural language processing', 'Genotype and phenotype', 'Machine learning', 'Pathology', 'Ontology and terminology']","['Data retrieval', 'Named-entity and concept recognition', 'Relation extraction']",[],[],['Command-line tool'],1.0,,biont,Apache-2.0,621.0,271.0,481.0
NEMine,0.438,Recognises gene and protein names in biomedical text.,"['Statistics and probability', 'Gene and protein families', 'Proteins', 'Data mining', 'Ontology and terminology']","['Enrichment analysis', 'Protein feature detection', 'Named-entity and concept recognition']",[],[],['Web application'],31.0,,nemine,,621.0,475.0,562.5999999999999
GPSDB,0.438,"Collection of gene and protein names, organized by species that can be used to search for a given gene/protein name, retrieve all synonyms for this entity, and query Medline with a set of user-selected terms.","['Model organisms', 'Proteins', 'Gene and protein families', 'Ontology and terminology']","['Data retrieval', 'Named-entity and concept recognition', 'Query and retrieval', 'Protein feature detection', 'Database search']",[],[],['Database portal'],17.0,,gpsdb,,621.0,434.0,546.2
DECA,0.438,"Species disambiguation system for biological named entities. The system will identify protein entities and disambiguate them according to species, by assigning NCBI Taxonomy organism IDs.","['Natural language processing', 'Model organisms', 'Machine learning', 'Ontology and terminology', 'Taxonomy']","['Data handling', 'Taxonomic classification', 'Named-entity and concept recognition', 'Text mining']",[],[],['Web application'],39.0,,deca,,621.0,493.0,569.8
DOUBLER,0.438,DOUBLER is a tool for Unified Representation Learning of Biological Entities and Documents for Predicting Protein–Disease Relationships.,"['Genotype and phenotype', 'Ontology and terminology', 'Machine learning', 'Pathology']","['Named-entity and concept recognition', 'Relation extraction', 'Clustering']",[],[],['Script'],0.0,,doubler,,621.0,225.0,462.59999999999997
disease-ontology,0.438,"Classification, content and workflow expansion.

Each import consists of two files: a *_terms.txt file and a *_import.owl file. The .txt file is used to generate the .owl import module using ROBOT extract.

This browser does not support visualization of term relationships on the Disease Ontology website.

Please use Chrome, Safari or Firefox when using the Disease Ontology website to unlock visualization capabaility.

Open the corresponding .txt file and do a text search to ensure the ID has not yet been added.

Save the file, and then in terminal, run the desired make command (see below).

Name Synonym Definition Subset DOID Alternate ID Xrefs DO_AGR_slim DO_cancer_slim DO_FlyBase_slim DO_GXD_slim DO_IEDB_slim DO_MGI_slim DO_rare_slim NCIthesaurus TopNodes_DOcancerslim.","['Anatomy', 'Rare diseases', 'Oncology', 'Pathology', 'Workflows', 'Ontology and terminology']","['Ontology visualisation', 'Database search', 'Named-entity and concept recognition']",[],[],['Database portal'],71.0,https://github.com/DiseaseOntology/HumanDiseaseOntology/issues,disease-ontology,,621.0,524.0,582.2
NLIMED,0.438,"Natural Language Interface for Model Entity Discovery in Biosimulation Model Repositories | This project is to convert user query to SPARQL in the Physiome Model Repository. The information looking by users usually is model entities | Natural Language Interface for Model Entity Discovery (NLIMED) is an interface to search model entities (i.e. flux of sodium across the basolateral plasma membrane, the concentration of potassium in the portion of tissue fluid) in the biosimulation models in repositories. The interface utilises the RDF inside biosimulation models and metadata from BioPortal. Currently, the interface can retrieve model entities from the Physiome Model Repository (PMR, https://models.physiomeproject.org) and the BioModels (https://www.ebi.ac.uk/biomodels/)","['Natural language processing', 'Bioengineering', 'Ontology and terminology']","['Data retrieval', 'Named-entity and concept recognition', 'Standardisation and normalisation']",[],[],['Command-line tool'],0.0,,NLIMED,,621.0,225.0,462.59999999999997
PhenoHM,0.438,PhenoHM is a human-mouse comparative phenome-genome server that facilitates cross species identification of genes associated with orthologous phenotypes.,"['Model organisms', 'Genotype and phenotype', 'Mouse clinic', 'Pathology', 'Ontology and terminology']","['Named-entity and concept recognition', 'Differential gene expression analysis', 'Gene prediction', 'Mapping', 'Gene expression QTL analysis']",[],[],['Web application'],18.0,,phenohm,,621.0,440.0,548.5999999999999
TermInformer,0.438,"unsupervised term mining and analysis in biomedical literature.

Terminology is the most basic information that researchers and literature analysis systems need to understand. Mining terms and revealing the semantic relationships between terms can help biomedical researchers find solutions to some major health problems and motivate researchers to explore innovative biomedical research issues. However, how to mine terms from biomedical literature remains a challenge. At present, the research on text segmentation in natural language processing (NLP) technology has not been well applied in the biomedical field. Named entity recognition models usually require a large amount of training corpus, and the types of entities that the model can recognize are limited. Besides, dictionary-based methods mainly use pre-established vocabularies to match the text. However, this method can only match terms in a specific field, and the process of collecting terms is time-consuming and labour-intensive","['Natural language processing', 'Ontology and terminology', 'Machine learning', 'Medicine']","['Text mining', 'Essential dynamics', 'Standardisation and normalisation']",[],[],[],2.0,,terminformer,,621.0,305.0,494.59999999999997
BO-LSTM,0.438,"Model to detect and classify relations in text, representing each entity  of domain-specific ontologies as the sequence of its ancestors in the ontology. BO-LSTM is implemented as a recurrent neural network with long short-term memory units and using open biomedical ontologies.","['Natural language processing', 'Ontology and terminology', 'Molecular interactions, pathways and networks']","['Named-entity and concept recognition', 'Relation extraction']",[],[],['Command-line tool'],12.0,,BO-LSTM,Apache-2.0,621.0,410.0,536.5999999999999
COVID-19 Ontology,0.438,"The COVID-19 ontology covers the role of molecular and cellular entities in virus-host-interactions, in the virus life cycle, as well as a wide spectrum of medical and epidemiological concepts linked to COVID-19.","['Natural language processing', 'Preclinical and clinical studies', 'Virology', 'Ontology and terminology', 'Public health and epidemiology']","['Virtual screening', 'Named-entity and concept recognition', 'Relation extraction', 'Deposition']",[],[],['Ontology'],0.0,https://github.com/covid-19-ontology/covid-19,covid-19-ontology,CC0-1.0,621.0,225.0,462.59999999999997
DODO,0.438,"DODO is a graph database to facilitate access and interaction with disease and phenotype ontologies. The aim of DODO is to allow an easier way to interact and explore disease ontologies and their identifiers. The database is build on Neo4j and incorporates different ontologies with an accompagnying R package that allows easy access, exploration, and definition of disease concepts of interest. It can work as the intermediate player to facilitate access and exhaustive extraction of information from other life science databases without the need to harmonize these up front.","['Imaging', 'Genotype and phenotype', 'Pathology', 'Workflows', 'Ontology and terminology']","['Data retrieval', 'Named-entity and concept recognition', 'Parsing']",[],[],['Ontology'],0.0,https://github.com/Elysheba/DODO,dodo,GPL-3.0,621.0,225.0,462.59999999999997
ODAE,0.438,Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,"['Geriatric medicine', 'Ontology and terminology', 'Medicinal chemistry']","['Ontology visualisation', 'Named-entity and concept recognition', 'Deposition']",[],[],['Ontology'],1.0,http://www.ontobee.org/ontology/ODAE,ODAE,Unlicense,621.0,271.0,481.0
ROBOT,0.438,"A Tool for Automating Ontology Workflows | ROBOT is a tool for working with Open Biomedical Ontologies | R.C. Jackson, J.P. Balhoff, E. Douglass, N.L. Harris, C.J. Mungall, and J.A. Overton. ROBOT: A tool for automating ontology workflows. BMC Bioinformatics, vol. 20, July 2019 | ROBOT is a tool for working with Open Biomedical Ontologies. It can be used as a command-line tool or as a library for any language on the Java Virtual Machine | If no --reasoner is provided, ROBOT will default to ELK. The following other reasoner options are supported: | ROBOT will always perform a logical validation check prior to automatic classification | Equivalent Classes (--equivalent-classes-allowed) | Generated Axioms(--axiom-generators)","['Software engineering', 'Workflows', 'Ontology and terminology']","['Ontology visualisation', 'Named-entity and concept recognition', 'Validation']",[],[],[],12.0,http://robot.obolibrary.org/reason,ROBOT,BSD-3-Clause,621.0,410.0,536.5999999999999
Doc2Hpo,0.438,Web application for efficient and accurate Human Phenotype Ontology (HPO) concept curation.,"['Natural language processing', 'Ontology and terminology', 'Genotype and phenotype']","['Ontology visualisation', 'Named-entity and concept recognition', 'Parsing']",[],[],['Web application'],2.0,https://github.com/stormliucong/doc2hpo,Doc2Hpo,Unlicense,621.0,305.0,494.59999999999997
Phenotator,0.375,Enter phenotypes descriptions and annotate these description with ontology terms using the entity/quality (EQ) pattern.,"['Ontology and terminology', 'Data management']",['Annotation'],[],[],['Web application'],15.0,http://www.ebi.ac.uk/support/,phenotator,,605.0,424.0,532.6
HunFlair,0.375,"An Easy-to-Use Tool for State-of-the-Art Biomedical Named Entity Recognition.

A very simple framework for state-of-the-art NLP. Developed by Humboldt University of Berlin and friends.

A powerful NLP library. Flair allows you to apply our state-of-the-art natural language processing (NLP) models to your text, such as named entity recognition (NER), part-of-speech tagging (PoS), special support for biomedical data, sense disambiguation and classification, with support for a rapidly growing number of languages.","['Natural language processing', 'Workflows', 'Medicine']","['Named-entity and concept recognition', 'Parsing']",[],[],['Library'],0.0,,hunflair,MIT,605.0,225.0,453.0
Gene Ontology,0.375,"The Gene Ontology resource.

Source ontology files for the Gene Ontology.

The Gene Ontology (GO) project is a major bioinformatics initiative to develop a computational representation of our evolving knowledge of how genes encode biological functions at the molecular, cellular and tissue system levels.","['Genetics', 'Model organisms', 'Plant biology', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Data retrieval', 'Ontology visualisation', 'Gene functional annotation', 'Enrichment analysis', 'Text annotation']",[],[],['Web application'],4.0,http://geneontology.org/stats.html,gene_ontology,,605.0,354.0,504.6
Bubastis,0.375,"An ontology change tool which is able to analyse two ontologies (typically two versions of the same ontology) to highlight logical changes which have occurred and to present these changes in more or less detail, as required.","['Gene expression', 'Data governance', 'Ontology and terminology', 'Natural language processing']","['Ontology visualisation', 'Annotation', 'Ontology comparison', 'Gene expression analysis']","[{'data': {'term': 'ontology', 'uri': 'http://edamontology.org/data_0582'}}]","[{'data': {'term': 'ontology metadata', 'uri': 'http://edamontology.org/data_2223'}}]",['Web application'],254.0,,bubastis,,605.0,580.0,595.0
J-Express,0.375,"It is a comprehensive portable software package for analysis and visualization of microarray data. It gives access to methods for unsupervised analysis, supervised analysis and visualisation in an integrated and flexible way. Its efficiency allows interactive clustering of thousands of expression profiles on standard personal computers. Supervised analysis can be performed on samples by simple sample annotation or on genes through tools for metabolic pathway analysis and Gene Ontology mapping.","['Mapping', 'samples', 'Ontology and terminology']",['Pathway analysis'],[],[],['Desktop application'],0.0,http://www.mybiosoftware.com/j-express-2009-analysis-visualization-microarray-data.html,j-express,,605.0,225.0,453.0
Zooma,0.375,ZOOMA 2 is a search engine for automatic curation and a repository of annotation knowledge. It facilitates automated data annotation against a variety of ontologies by exploring context and previous annotation efforts as well as lexical matching,"['Data identity and mapping', 'Systems biology', 'Ontology and terminology']",['Annotation'],"[{'data': {'term': 'keyword', 'uri': 'http://edamontology.org/data_0968'}}]","[{'data': {'term': 'ontology mapping', 'uri': 'http://edamontology.org/data_3509'}}]",['Web application'],88.0,http://www.ebi.ac.uk/support/,zooma,,605.0,536.0,577.4
DO,0.375,"The Disease Ontology (DO) has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of human disease terms, phenotype characteristics and related medical vocabulary disease concepts.","['Medical informatics', 'Rare diseases', 'Molecular interactions, pathways and networks', 'Ontology and terminology', 'Pathology']","['Query and retrieval', 'Annotation', 'Ontology comparison', 'Ontology visualisation']",[],[],"['Web application', 'Database portal']",471.0,,disease_ontology,CC-BY-1.0,605.0,591.0,599.4
FamPlex,0.375,"It is an effective resource for improving named entity recognition, grounding, and relationship resolution in automated reading of biomedical text.","['Natural language processing', 'Data mining', 'Protein families']",['Named-entity recognition'],[],[],['Database portal'],8.0,,famplex,CC0-1.0,605.0,385.0,517.0
PubReCheck,0.375,"How to improve automated discoverability and interpretability.

Data-driven research in biomedical science requires structured, computable data. Increasingly, these data are created with support from automated text mining. Text-mining tools have rapidly matured: although not perfect, they now frequently provide outstanding results. We describe 10 straightforward writing tips-and a web tool, PubReCheck-guiding authors to help address the most common cases that remain difficult for text-mining tools. We anticipate these guides will help authors' work be found more readily and used more widely, ultimately increasing the impact of their work and the overall benefit to both authors and readers.","['Natural language processing', 'Data mining', 'Biomedical science', 'Medicine', 'Ontology and terminology']","['Genome annotation', 'Text mining', 'Phylogenetic tree annotation']",[],[],[],2.0,,pubrecheck,,605.0,305.0,485.0
FAIRDataPoint,0.375,"FAIRDataPoint is a REST api for creating, storing and servering FAIR metadata. The metadata contents are in this api are generated semi-automatically according to the FAIR Data Point software specification document. In the current version of api we support GET, POST and PATCH requests.","['Ontology and terminology', 'Informatics']",['Annotation'],"[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'n-triples', 'uri': 'http://edamontology.org/format_3256'}}]","[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'n-quads', 'uri': 'http://edamontology.org/format_3956'}}]","['Web API', 'Web application']",0.0,https://github.com/FAIRDataTeam/FAIRDataPoint,FAIRDataPoint,MIT,605.0,225.0,453.0
a4Preproc,0.375,"An R package of the ""a4"" packages collection. It is used for microarray data preprocessing where annotation information is added to experimental result data.","['Microarray experiment', 'Ontology and terminology']","['Statistical calculation', 'Annotation']",[],[],"['Command-line tool', 'Library']",1245.0,,a4preproc,GPL-3.0,605.0,614.0,608.6
COMMODAR,0.375,Literature mining for context-specific molecular relations using multimodal representations (COMMODAR). Biological contextual information helps understand various phenomena occurring in the biological systems consisting of complex molecular relations.,"['Natural language processing', 'Data mining', 'Machine learning', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Text mining', 'Text annotation']",[],[],['Script'],0.0,,commodar,,605.0,225.0,453.0
TM-IMC,0.375,Function Prediction for G Protein-Coupled Receptors through Text Mining and Induction Matrix Completion | TM-IMC: Text Mining and Induce Matrix Completion for GPCR function prediction | TM-IMC is an algorithm for automated annotation of Gene Ontology (GO) term for G protein-coupled receptors (GPCRs) using features derived from text mining and induced matrix completion of GPCR-GO associatation matrix,"['Natural language processing', 'Physiology', 'Ontology and terminology']","['Side chain modelling', 'Text mining', 'Protein secondary structure prediction']",[],[],[],1.0,,TM-IMC,,605.0,271.0,471.4
ADS,0.375,A novel comparison of evaluation metrics for gene ontology classifiers reveals drastic performance differences.,"['Machine learning', 'Bioinformatics', 'Ontology and terminology']","['Scatter plot plotting', 'Ontology comparison', 'Text annotation']",[],[],['Workflow'],3.0,https://bitbucket.org/plyusnin/ads/,ADS,,605.0,330.0,495.0
