Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
ms-data-core-api,0.483,"The ms-data-core-api is a free, open-source library for developing computational proteomics tools and pipelines. The Application Programming Interface, written in Java, enables rapid tool creation by providing a robust, pluggable programming interface and common data model. The data model is based on controlled vocabularies/ontologies and captures the whole range of data types included in common proteomics experimental workflows, going from spectra to peptide/protein identifications to quantitative results. The library contains readers for three of the most used Proteomics Standards Initiative standard file formats: mzML, mzIdentML, and mzTab. In addition to mzML, it also supports other common mass spectra data formats: dta, ms2, mgf, pkl, apl (text-based), mzXML and mzData (XML-based). Also, it can be used to read PRIDE XML, the original format used by the PRIDE database, one of the world-leading proteomics resources.","['Proteomics', 'Proteomics experiment', 'Software engineering']",['Library'],24.0,http://www.mybiosoftware.com/ms-data-core-api-metadata-oriented-library-for-computational-proteomics.html,https://bio.tools/ms-data-core-api,4503.0,3268.0,4009.0
genomicsdb,0.483,"Advancing clinical cohort selection with genomics analysis on a distributed platform.

Highly performant data storage in C++ for importing, querying and transforming variant data with Java/Spark. Used in gatk4.

Sparse Array Storage for Genomics.

GenomicsDB, originally from Intel Health and Lifesciences, is built on top of a fork of htslib and a tile-based array storage system for importing, querying and transforming variant data.

Open source project providing a collaboration to optimizing sparse array storage for genomics.

Using high-level APIs provided in C++, Java*, and Spark*, users can both write and read variant records to and from GenomicsDB shared-nothing instances in parallel using multiple processes in a Single Process Multiple Data (SPMD) manner.","['Exome sequencing', 'Systems medicine', 'Personalised medicine', 'Complementary medicine', 'Biobank']",['Command-line tool'],0.0,https://github.com/GenomicsDB/GenomicsDB,https://bio.tools/genomicsdb,4503.0,2330.0,3633.7999999999997
shournal,0.483,"Bashing irreproducibility with shournal.

A (file-) journal for your shell.

Note: for a more formal introduction please read Bashing irreproducibility with shournal on bioRxiv.

Using the external software shournal-to-snakemake an observed shell-command-series can be directly transformed into rules for the Snakemake workflow engine, a tool to create reproducible and scalable data analyses.","['Bioinformatics', 'Workflows']",[],0.0,,https://bio.tools/shournal,4503.0,2330.0,3633.7999999999997
epiviz file server,0.483,A library to query and transform genomic data from indexed files,"['Oncology', 'Workflows', 'DNA']",['Library'],0.0,https://github.com/epiviz/epivizFileServer,https://bio.tools/epiviz file server,4503.0,2330.0,3633.7999999999997
toa,0.483,"A software package for automated functional annotation in non-model plant species.

TOA (Taxonomy-oriented Annotation).

TOA aims to establish workflows geared towards plant species that automate the extraction of information from genomic databases and the annotation of sequences. TOA uses the following databases: Dicots PLAZA 4.0, Monocots PLAZA 4.0, Gymno PLAZA 1.0, NCBI RefSeq Plant and NCBI Nucleotide Database (NT) and NCBI Non-Redundant Protein Sequence Database (NR). Although TOA was primarily designed to work with woody plant species, it can also be used in the analysis of experiments on any type of plant organism. Additionally, NCBI Gene, InterPro and Gene Ontology databases are also used to complete the information.","['Computer science', 'Workflows', 'Model organisms', 'Transcriptomics', 'Plant biology']",[],0.0,,https://bio.tools/toa,4503.0,2330.0,3633.7999999999997
redcap,0.467,Secure web application for building and managing online surveys and databases.,"['Data submission, annotation and curation', 'Data management', 'Database management']",['Web application'],8013.0,,https://bio.tools/redcap,4498.0,4514.0,4504.4
miamexpress,0.467,Compliant microarray data submission tool.,"['Microarray experiment', 'Data submission, annotation and curation', 'Model organisms', 'Database management', 'Gene expression']",['Web application'],607.0,,https://bio.tools/miamexpress,4498.0,4220.0,4386.799999999999
ega,0.467,European genome-phenome Archive (EGA) - service for permanent archiving and sharing of all types of personally identifiable genetic and phenotypic data resulting from biomedical research projects.,"['Laboratory information management', 'Genotype and phenotype', 'Data integration and warehousing', 'Rare diseases', 'Data security']","['Web API', 'Web application', 'Database portal']",87.0,,https://bio.tools/ega,4498.0,3714.0,4184.4
dvd,0.467,Diagnostic Variant Database (DVD) is a nation-wide human genomic variant database launched by Dutch University Medical Centers. Its purpose is to share all genetic variants detected in the course of next-generation sequencing (NGS) applications between collaborators. It helps medical researchers to distinguish between functionally relevant and benign genetic variants. DVD also allows users to contact the researcher who originally identified a particular genetic mutation.,"['Human genetics', 'Data integration and warehousing', 'Rare diseases', 'Genetic variation']",['Database portal'],0.0,,https://bio.tools/dvd,4498.0,2330.0,3630.7999999999997
jmztab-m,0.467,Reference implementation for mzTab 2.0 for metabolomics,"['Data submission, annotation and curation', 'Metabolomics', 'Ontology and terminology']","['Command-line tool', 'Library']",0.0,https://github.com/lifs-tools/jmzTab-m,https://bio.tools/jmztab-m,4498.0,2330.0,3630.7999999999997
pubmed,0.467,"PubMed comprises more than 29 million citations for biomedical literature from MEDLINE, life science journals, and online books.","['Biology', 'Data integration and warehousing', 'Data governance', 'Medicine', 'Rare diseases', 'Literature and language']","['Web application', 'Database portal']",0.0,,https://bio.tools/pubmed,4498.0,2330.0,3630.7999999999997
arteria,0.467,"An automation system for a sequencing core facility.

StackStorm packs to automate sequencing center operations.

Event-driven sequencing center automation.

It forms the core of the Arteria automation system, which you can read about on our website or preprint. This pack integrates with a series of bioinformatic micro-services, which can be found at https://github.com/arteria-project.

This pack provides re-usable units for automating tasks at a sequencing core facility using the StackStorm event-driven automation platform.

Handling sequencing data from massive parallel sequencing can be a daunting task! And while the process of handling sequencing data will share many of its characteristics across centers, the current norm is one center one solution. This creates a situation where reuse is difficult to achieve and the wheel is invented over and over again. This is a situation that we hope can be remedied in the form of the Arteria project","['Bioinformatics', 'Whole genome sequencing', 'Workflows', 'Literature and language']",[],0.0,https://github.com/arteria-project/arteria-packs,https://bio.tools/arteria,4498.0,2330.0,3630.7999999999997
bionimbus,0.467,"Cloud environment accessing, managing and analyzing large genomics and phenotypic datasets.","['Data architecture, analysis and design', 'Data mining', 'Data integration and warehousing', 'Data governance']",['Workbench'],41.0,,https://bio.tools/bionimbus,4498.0,3469.0,4086.3999999999996
mibig 2.0,0.450,"A repository for biosynthetic gene clusters of known function.

REST API layer for the MIBiG database.

Repository to track changes in MIBiG curation data stored in JSON format.

Minimum Information about a Biosynthetic Gene cluster.

Refactor MIBiG (version 1.4: August 6th, 2018) JSON schema, both structurally and conceptually. Adopt the latest JSON schema (Draft V7), and update existing data to match the new schema.","['Microbial ecology', 'Metabolomics', 'Drug discovery', 'Small molecules', 'Metagenomics']",['Command-line tool'],0.0,https://github.com/mibig-secmet/mibig-api/,https://bio.tools/mibig 2.0,4490.0,2330.0,3626.0
viennngs,0.450,"Build efficient pipelines for NGS data processing. Extracts and converts features from common NGS file formats, computation and evaluation of read mapping statistics, as well as normalization of RNA abundance. Moreover, It allows identification and characterization of splice junctions from RNA-seq data, parsing and condensing sequence motif data, automated construction of Assembly and Track Hubs for the UCSC genome browser, as well as wrapper routines for a set of commonly used NGS command line tools.","['RNA-seq', 'ChIP-seq', 'Workflows']",['Command-line tool'],21.0,https://github.com/mtw/Bio-ViennaNGS,https://bio.tools/viennngs,4490.0,3220.0,3982.0
reactioncode,0.450,"Format for Reaction Searching, Analysis, Classification, Transform, and Encoding/Decoding.

ReactionCode is a new versatile format for searching, analysis, classification, transform, and encoding decoding of reactions.","['Small molecules', 'Molecular biology', 'Machine learning', 'Chemistry']",[],0.0,,https://bio.tools/reactioncode,4490.0,2330.0,3626.0
pcdb,0.450,"Database of protein conformational diversity. For each protein, the database contains the redundant compilation of all the corresponding crystallographic structures obtained under different conditions. These structures could be considered as different instances of protein dynamism. As a measure of the conformational diversity we use the maximum RMSD obtained comparing the structures deposited for each domain. The redundant structures were extracted following CATH classification and cross linked.","['Molecular dynamics', 'Protein structure analysis', 'Proteins', 'Structure prediction', 'Protein folds and structural domains']",['Database portal'],15.0,,https://bio.tools/pcdb,4490.0,3090.0,3930.0
omics data paper generator,0.433,"The Omics Data Paper Generator is an R Shiny app, installable as a golem, which imports (gen)omics metadata from EMBL's ENA and associated records from ArrayExpress and BioSamples into a data paper manuscript according to Pensoft's Biodiversity Data Journal omics data paper manuscript template. The manuscript can be downloaded as HTML or JATS XML. 
The goal of the tool is to enable (gen)omic data sharing and reuse through facilitating the authoring of genomics data papers.
The workflow implemented in the Omics Data Paper Generator has been integrated inside Pensoft's ARPHA platform for authoring and reviewing scholarly articles. There, via this workflow, genomic data papers manuscripts can be generated by providing an ENA Study of Project identifier. Authors are then encouraged to improve their manuscripts through additional metadata and narrative.
In addition to running this tool to use the workflow, it can be used via a web application: https://mdmtrv.shinyapps.io/Omics_data_paper/","['Genomics', 'Data acquisition', 'Workflows']",['Web application'],0.0,,https://bio.tools/omics data paper generator,4486.0,2330.0,3623.6
wft4galaxy,0.433,Testing module for Galaxy workflows.,"['Bioinformatics', 'Data quality management', 'Laboratory information management']",['Library'],1.0,,https://bio.tools/wft4galaxy,4486.0,2456.0,3674.0
chanjo,0.433,Chanjo is coverage analysis for clinical sequencing. It's implemented in Python with a command line interface that adheres to UNIX pipeline philosophy. Chanjo leverages Sambamba to annotate coverage and completeness for a general BED-file. The output can then easily to loaded into a SQL database that enables investigation of coverage across regions and samples. The database also works as an API to downstream tools like the Chanjo Coverage Report generator.,"['Exome sequencing', 'Whole genome sequencing', 'Workflows', 'Sequence assembly', 'Genomics']",['Library'],0.0,,https://bio.tools/chanjo,4486.0,2330.0,3623.6
entrez,0.433,"NCBI information retrieval system, including GenBank, MMDB (structures), genomes, population sets, OMIM, taxonomy and PubMed.","['Rare diseases', 'Data mining', 'Data integration and warehousing', 'Sequence analysis', 'Mapping', 'Literature and language']","['Web application', 'Database portal']",322.0,,https://bio.tools/entrez,4486.0,4067.0,4318.4
glassesviewer,0.433,"Open-source software for viewing and analyzing data from the Tobii Pro Glasses 2 eye tracker.

This matlab utility can parse recording files from the Tobii Glasses 2 as stored on the SD card (no need for intervening Tobii software). Once parsed, it will display this data in a MATLAB GUI. Optional eye videos are also supported. In this GUI, sync events can be shown, and data can be optionally annotated (e.g. as slow and fast phase intervals) by hand or by a classifier algorithm, or such annotations can be loaded from file.","['Sequencing', 'Workflows', 'Proteomics experiment']",['Library'],0.0,,https://bio.tools/glassesviewer,4486.0,2330.0,3623.6
pastmus,0.433,"Mapping functional elements at single amino acid resolution in human cells.

Identification of functional elements for a protein of interest is important for achieving a mechanistic understanding. However, it remains cumbersome to assess each and every amino acid of a given protein in relevance to its functional significance. Here, we report a strategy, PArsing fragmented DNA Sequences from CRISPR Tiling MUtagenesis Screening (PASTMUS), which provides a streamlined workflow and a bioinformatics pipeline to identify critical amino acids of proteins in their native biological contexts. Using this approach, we map six proteins-three bacterial toxin receptors and three cancer drug targets, and acquire their corresponding functional maps at amino acid resolution","['Oncology', 'Sequencing', 'Workflows', 'Small molecules', 'Mapping']",['Command-line tool'],0.0,https://bitbucket.org/WeiLab/pastmus,https://bio.tools/pastmus,4486.0,2330.0,3623.6
workflow characterizing nanoparticle monolayers biosensors,0.433,"A workflow for characterizing nanoparticle monolayers for biosensors.

A persistent challenge in materials science is the characterization of a large ensemble of heterogeneous nanostructures in a set of images. This often leads to practices such as manual particle counting, and sampling bias of a favorable region of the “best” image. Herein, we present the open-source software, imaging criteria and workflow necessary to fully characterize an ensemble of SEM nanoparticle images. Such characterization is critical to nanoparticle biosensors, whose performance and characteristics are determined by the distribution of the underlying nanoparticle film.","['Electron microscopy', 'Workflows', 'Medical imaging', 'Bioengineering', 'Light microscopy']",[],0.0,,https://bio.tools/workflow characterizing nanoparticle monolayers biosensors,4486.0,2330.0,3623.6
base,0.433,BASE is a workflow to integrate non-ubiquitous genes in comparative genomics analyses for selection. It is used to built to ease the inference and interpretation of selection regimes in the context of comparative genomics. While the majority of these analyses are restricted to ortholog groups of ubiquitous genes - i.e. genes which are present in all the species considered - BASE allows to integrate ortholog groups of non-ubiquitous genes - i.e. genes which are not present in all the species considered.,"['Genetics', 'Workflows', 'Phylogeny']",['Script'],0.0,,https://bio.tools/base,4486.0,2330.0,3623.6
icite,0.433,"A public access, broad coverage resource.

NIH Office of Portfolio Analysis.

iCite is a tool to access a dashboard of bibliometrics for papers associated with a portfolio. Users type in a PubMed query or upload the PubMed IDs of articles of interest. iCite has three modules: Influence, Translation, and Open Citations.

iCite: Influence delivers metrics of scientific influence such as the Relative Citation Ratio (RCR), which is field- and time-adjusted, and benchmarked to NIH publications as the baseline. Read about how RCR is calculated at PLOS Biology.

Bulk data can be accessed at the iCite database snapshot repository","['Zoology', 'Workflows', 'Preclinical and clinical studies', 'Medicine', 'Machine learning']",['Web application'],0.0,,https://bio.tools/icite,4486.0,2330.0,3623.6
yabi,0.433,It is an open source software system which provides an analysis workflow environment that can create and reuse workflows as well as manage large amounts of both raw and processed data in a secure and flexible way across geographically distributed compute resources. It can be used via a web-based environment to drag-and-drop tools to create sophisticated workflows.,"['Workflows', 'Database management', 'Bioinformatics', 'Software engineering', 'Data architecture, analysis and design', 'Rare diseases']",['Web application'],68.0,,https://bio.tools/yabi,4486.0,3636.0,4146.0
diseasecard,0.433,"Information retrieval tool for accessing and integrating genetic and medical information for health applications. Resorting to this integrated environment, clinicians are able to access and relate diseases data already available in the Internet, scattered along multiple databases.","['Data integration and warehousing', 'Database management', 'Medical informatics', 'Molecular interactions, pathways and networks', 'Rare diseases']","['Web API', 'Web application', 'Database portal']",15.0,,https://bio.tools/diseasecard,4486.0,3090.0,3927.6
ddbj,0.433,"Nucleotide sequence archive database and accompanying database tools for sequence submission, entry retrieval and annotation analysis. A new archive for quantitative genomics data, the DDBJ Omics aRchive (DOR). The DOR stores quantitative data both from the microarray and high-throughput new sequencing platforms. Other improvements include improved content of the patent sequence, released a new submission tool of the Sequence Read Archive (DRA) and the Read Annotation Pipeline.","['Microarray experiment', 'Sequencing', 'Gene transcripts', 'Database management']",['Database portal'],118.0,,https://bio.tools/ddbj,4486.0,3807.0,4214.4
bioextract,0.433,"The BioExtract Server is a platform for the creation of bioinformatic workflows to aid the analysis of genomic data. A series of recorded tasks can be saved and shared. Integrated resources include NCBI databases, EMBL-Bank, UniProt and UniRef, as well as a large number of computational tools such as EMBOSS and KEGG.","['Workflows', 'Database management', 'Bioinformatics', 'Structure analysis', 'Computational biology']",['Web application'],25.0,,https://bio.tools/bioextract,4486.0,3282.0,4004.4
pubcrawler,0.433,It goes to the library. You go to the pub; receive email alerts for current contents of PubMed and GenBank; e.g. use accession number of htg record as query to receive sequence updates (as the version number changes).,"['Nucleic acids', 'Database management', 'Sequence composition, complexity and repeats', 'Medicine', 'Literature and language']",['Web application'],35.0,,https://bio.tools/pubcrawler,4486.0,3422.0,4060.4
snappy,0.433,"a snakemake pipeline for scalable HIV-1 subtyping by phylogenetic pairing | SNAPPy is a Snakemake pipeline for HIV-1 subtyping by phylogenetic pairing | This is the repository for SNAPPy, a Snakemake pipeline for HIV-1 subtyping by phylogenetic pairing. SNAPPy allows high-throughput HIV-1 subtyping locally while being resource efficient and scalable. This pipeline was constructed using Snakemake , and it uses MAFFT and for multiple sequence alignment, BLAST for similarirty querys, IQ-TREE for phylogenetic inference, and several Biopython modules for data parsing an analysis. For in-depth information on how the tool works please visit the documentation page. SNAPPy was design for Linux based operative systems | Welcome to snappy’s documentation! — SNAPPy-HIV1-Subtyping 1.0.0 documentation | Free document hosting provided by Read the Docs","['Public health and epidemiology', 'Workflows', 'Phylogenetics']",[],0.0,,https://bio.tools/snappy,4486.0,2330.0,3623.6
geonode-tools4msp,0.433,"Open source tools to support Integrated Coastal Management and Maritime Spatial Planning.

Geospatial tools to support Maritime Spatial Planning.

GeoNode is a web-based application and platform for developing geospatial information systems (GIS) and for deploying spatial data infrastructures (SDI).

Tools4MSP is a python-based Free and Open Source Software (FOSS) for geospatial analysis in support of Maritime Spatial Planning (MSP) and marine environmental management. Tools4MSP implements models for Cumulative Effects Assessment (CEA), Maritime Use Conflict (MUC) Analysis and Marine Ecosystem Services Threat (MES-Threat) analysis. The package can be used as stand-alone library or as integrated GeoNode Plugin providing additional functionalities to geospatial CMS and enhancing usability through a graphical user interface (GUI).

Gallery Quick Start Try the Demo Blog.

The webtools (GeoNode integration) analysis workflow follows a four step approach:","['Environmental science', 'Ecology', 'Workflows', 'Database management']",['Web application'],0.0,https://github.com/CNR-ISMAR/tools4msp,https://bio.tools/geonode-tools4msp,4486.0,2330.0,3623.6
osirix,0.417,"OsiriX is an image processing software dedicated to DICOM images (“.dcm” / “.DCM” extension) produced by imaging equipment (MRI, CT, PET, PET-CT, SPECT-CT, Ultrasounds, …). It is fully compliant with the DICOM standard for image comunication and image file formats. OsiriX is able to receive images transferred by DICOM communication protocol from any PACS or imaging modality (C-STORE SCP/SCU, and Query/Retrieve : C-MOVE SCU/SCP, C-FIND SCU/SCP, C-GET SCU/SCP, WADO) .","['Imaging', 'MRI']",['Desktop application'],1114.0,http://www.mybiosoftware.com/osirix-3-9-2-dicom-viewer.html,https://bio.tools/osirix,4470.0,4383.0,4435.2
genscalpel,0.417,Program designed for specified-sequence retrieval and extraction from large-scale sequence sets in NCBI GenBank flatfile format.,"['Data management', 'Sequence analysis', 'DNA']",['Desktop application'],6.0,http://www.mybiosoftware.com/genscalpel-retrieve-and-extract-dna-or-protein-sequence-from-ncbi-genbank-file.html,https://bio.tools/genscalpel,4470.0,2798.0,3801.2
grok,0.417,"This tool is “Swiss Army knife” library for processing genomic interval data. It operates on genomic regions, annotated chromosomal intervals that represent sequencing short reads, gene locations, ChIP-seq peaks or other genomic features. Applications of GROK include file format conversions, set operations, overlap queries, and filtering and transformation operations. Supported file formats include BAM/SAM, BED, BedGraph, CSV, FASTQ, GFF/GTF, VCF and Wiggle.","['ChIP-seq', 'Genomics', 'Sequence analysis']",['Library'],9.0,http://www.mybiosoftware.com/grok-genomic-region-operation-toolkit.html,https://bio.tools/grok,4470.0,2896.0,3840.4
museqbox,0.417,"Multi-query Sequence Blast Output Examination is a program designed for multi-query sequence BLAST output examination. It examines the BLAST output, extracts the informative parameters of BLAST hits, and saves them in tabular form in either text or HTML format. The hit tables are optionally further analyzed with the program to produce subsets of BLAST hits according to user-specified criteria.","['Sequences', 'DNA']",['Command-line tool'],0.0,http://www.mybiosoftware.com/museqbox-multi-query-sequence-blast-output-examination.html,https://bio.tools/museqbox,4470.0,2330.0,3614.0
orfer,0.417,ORFer (Open Reading Frame Retrieval) reads the NCBI GenBank XML sequence format and extracts open reading frames for proteins. Sequences can be requested by GI or accession number.The open reading frame corresponding to the protein sequences is extracted from the XML and displayed. ORFer has a database interface that allows for storing the retrieved sequences in a local SQL database.,"['Sequences', 'Proteins']",['Desktop application'],1.0,http://www.mybiosoftware.com/orfer-1-3-2-2-retrieval-protein-sequences-open-reading-frames-genbank.html,https://bio.tools/orfer,4470.0,2456.0,3664.4
seqminer2,0.417,"an efficient tool to query and retrieve genotypes for statistical genetics analyses from biobank scale sequence dataset.

Seqminer is a highly efficient R-package for retrieving sequence variants from biobank scale datasets of millions of individuals and billions of genetic variants. It supports all variant types, including multi-allelic variants and imputation dosages. It takes VCF/BCF/BGEN/PLINK format as input file, indexes, queries them based upon variant-based index and loads them as R data types such as list or matrix.

cfh2 <- seqminer::createSingleChromosomeVCFIndex(vcf.ref.file, vcf.idx.file).

vcf.idx.file <- ""input.vcf.scIdx"".","['Genotype and phenotype', 'Biobank', 'Mapping']",[],0.0,https://github.com/yang-lina/seqminer/blob/master/seqminer2%20benchmark%20script.txt,https://bio.tools/seqminer2,4470.0,2330.0,3614.0
sigreannot-mart,0.417,"Re-annotating oligo sets used for expression microarrays is essential to supply biologists with up-to-date annotations. The tool is a query environment populated with regularly updated annotations for different oligo sets. It permits easy extraction in different formats using filters. It is used to compare probe sets on different criteria, to choose the set for a given experiment to mix probe sets in order to create a new one.","['Microarray experiment', 'Probes and primers', 'Zoology', 'Gene expression', 'Transcriptomics']",['Database portal'],6.0,,https://bio.tools/sigreannot-mart,4470.0,2798.0,3801.2
