name	description	type	topic	input	output
coeus	Semantic web application network that combines a set of algorithms to streamline the creation of new semantic web-based knowledge management systems. In a single package, it provides the tools to create new applications, including advanced integration connectors for different data sources along with ontology mapping techniques.	['Web application', 'Database portal']	[{'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Informatics', 'uri': 'http://edamontology.org/topic_0605'}, {'term': 'Software engineering', 'uri': 'http://edamontology.org/topic_3372'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
gnomad	Genome Aggregation Database (gnomAD) - browser that aggregates exome and whole-genome sequencing data from a wide variety of large-scale sequencing projects. It enables search of genetic variation information by gene, variant or region.	['Web application', 'Database portal']	[{'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Data acquisition', 'uri': 'http://edamontology.org/topic_3077'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
gwas catalog	A catalogue that provides a publicly available manually curated collection of published GWAS assaying at least 100 000 single-nucleotide polymorphisms (SNPs) and all SNP-trait associations with P <1 × 10−5.	['Web API', 'Web application', 'Database portal']	[{'term': 'GWAS study', 'uri': 'http://edamontology.org/topic_3517'}, {'term': 'DNA polymorphism', 'uri': 'http://edamontology.org/topic_2885'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
ncbi resources	The National Center for Biotechnology Information (NCBI) provides analysis and retrieval resources for the data in GenBank and other biological data made available through the NCBI web site.	['Web application', 'Database portal']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
genatlas	The Genatlas database provides information on the structure, expression and function of genes, gene mutations and their consequences on diseases.	['Web application', 'Database portal']	[{'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Genetics', 'uri': 'http://edamontology.org/topic_3053'}, {'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Function analysis', 'uri': 'http://edamontology.org/topic_1775'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
dvd	Diagnostic Variant Database (DVD) is a nation-wide human genomic variant database launched by Dutch University Medical Centers. Its purpose is to share all genetic variants detected in the course of next-generation sequencing (NGS) applications between collaborators. It helps medical researchers to distinguish between functionally relevant and benign genetic variants. DVD also allows users to contact the researcher who originally identified a particular genetic mutation.	['Database portal']	[{'term': 'Human genetics', 'uri': 'http://edamontology.org/topic_3574'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
pubmed	PubMed comprises more than 29 million citations for biomedical literature from MEDLINE, life science journals, and online books.	['Web application', 'Database portal']	[{'term': 'Biology', 'uri': 'http://edamontology.org/topic_3070'}, {'term': 'Medicine', 'uri': 'http://edamontology.org/topic_3303'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
kccg patient archive	A platform developed by Kinghorn Center of Clinical Genomics (KCCG) for managing, sharing and discussing patient cases (clinical and genomic information).	['Web application', 'Workbench']	[{'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}, {'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Medical informatics', 'uri': 'http://edamontology.org/topic_3063'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
hgmd	The Human Gene Mutation Database (HGMD) - comprehensive collection of germline mutations in nuclear genes that underlie, or are associated with, human inherited disease. It is a flexible resource that can be adapted to a broad range of applications including searching for an overview of known mutations associated with a particular disease, interpreting clinical test results or looking for the likely causal mutation in a list of variants.	['Web application', 'Database portal']	[{'term': 'Genetic variation', 'uri': 'http://edamontology.org/topic_0199'}, {'term': 'Human biology', 'uri': 'http://edamontology.org/topic_2815'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
ucsc genome browser	Large database of publicly available sequence and annotation data along with an integrated tool set for examining and comparing the genomes of organisms, aligning sequence to genomes, and displaying and sharing users own annotation data.	['Web application', 'Database portal']	[{'term': 'Model organisms', 'uri': 'http://edamontology.org/topic_0621'}, {'term': 'Genotype and phenotype', 'uri': 'http://edamontology.org/topic_0625'}, {'term': 'Data visualisation', 'uri': 'http://edamontology.org/topic_0092'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
dgva	The Database of Genomic Variants archive ((DGVa) is a repository that provides archiving, accessioning and distribution of publicly available genomic structural variants, in all species.	['Web application', 'Database portal']	[{'term': 'DNA structural variation', 'uri': 'http://edamontology.org/topic_3175'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
genecards	Database of human genes, their products, and involvement in diseases. It automatically integrates gene-centric data from ~150 web sources, including genomic, transcriptomic, proteomic, genetic, clinical and functional information.	['Web application', 'Database portal']	[{'term': 'Human genetics', 'uri': 'http://edamontology.org/topic_3574'}, {'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Function analysis', 'uri': 'http://edamontology.org/topic_1775'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
entrez	NCBI information retrieval system, including GenBank, MMDB (structures), genomes, population sets, OMIM, taxonomy and PubMed.	['Web application', 'Database portal']	[{'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Mapping', 'uri': 'http://edamontology.org/topic_0102'}, {'term': 'Literature and language', 'uri': 'http://edamontology.org/topic_3068'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Rare diseases', 'uri': 'http://edamontology.org/topic_3325'}]	[]	[]
marine metagenomics portal	The mission of Marine Metagenomics Portal (MMP) is to provide the marine scientific community with high-quality curated and freely accessible microbial genomics and metagenomics resources.	['Database portal']	[{'term': 'Marine biology', 'uri': 'http://edamontology.org/topic_3387'}, {'term': 'Microbiology', 'uri': 'http://edamontology.org/topic_3301'}, {'term': 'Metagenomics', 'uri': 'http://edamontology.org/topic_3174'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}, {'term': 'Microbial ecology', 'uri': 'http://edamontology.org/topic_3697'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Taxonomy', 'uri': 'http://edamontology.org/topic_0637'}, {'term': 'Function analysis', 'uri': 'http://edamontology.org/topic_1775'}]	[]	[]
bioplex 2.0	A repository of protein interaction data from mass spectrometry experiments.	['Database portal']	[{'term': 'Protein interactions', 'uri': 'http://edamontology.org/topic_0128'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'gene identifier', 'uri': 'http://edamontology.org/data_1025'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'gene identifier', 'uri': 'http://edamontology.org/data_1025'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
extract_archive_merge	A tool for decompressing an archive file (zip, gz, tar.gz, fastq.gz, fastq.bz2 or tar.bz2) and merging all files into only one.	['Web application']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Laboratory information management', 'uri': 'http://edamontology.org/topic_0607'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
magpie	MAGPIE is a web server application that enables researchers from different domains to publish, exchange and execute models on-line, as well as publish and exchange data.	['Web service']	[{'term': 'Statistics and probability', 'uri': 'http://edamontology.org/topic_2269'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}]	[{'data': {'term': 'mathematical model', 'uri': 'http://edamontology.org/data_0950'}}]	[{'data': {'term': 'mathematical model', 'uri': 'http://edamontology.org/data_0950'}}]
covidmine	"CovidMine is an InterMine dedicated to COVID-19 / SARS-CoV-2 data which
integrates confirmed Covid-19 cases, deaths, Sars-CoV-2 reference genome
and nucleotide sequences from isolates deposited in Genbank"	['Web application', 'Web service', 'Database portal']	[{'term': 'Data visualisation', 'uri': 'http://edamontology.org/topic_0092'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
graphweb	Public web server for graph-based analysis of biological networks that: analyses directed and undirected, weighted and unweighted heterogeneous networks of genes, proteins and microarray probesets for many eukaryotic genomes; integrates multiple diverse datasets into global networks; incorporates multispecies data; filters nodes and edges; detects gene modules from networks; interprets discovered modules.	['Web application']	[{'term': 'Molecular interactions, pathways and networks', 'uri': 'http://edamontology.org/topic_0602'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Gene and protein families', 'uri': 'http://edamontology.org/topic_0623'}, {'term': 'Data mining', 'uri': 'http://edamontology.org/topic_3473'}]	[{'data': {'term': 'pathway or network', 'uri': 'http://edamontology.org/data_2600'}, 'format': {'term': 'graph format', 'uri': 'http://edamontology.org/format_3617'}}]	[{'data': {'term': 'pathway or network', 'uri': 'http://edamontology.org/data_2600'}, 'format': {'term': 'graph format', 'uri': 'http://edamontology.org/format_3617'}}]
askomics	AskOmics is a visual SPARQL query interface supporting both intuitive data integration and querying while shielding the user from most of the technical difficulties underlying RDF and SPARQL	['Desktop application']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'dsv', 'uri': 'http://edamontology.org/format_3751'}}]	[{'data': {'term': 'text data', 'uri': 'http://edamontology.org/data_2526'}, 'format': {'term': 'dsv', 'uri': 'http://edamontology.org/format_3751'}}]
3dbionotes	Web based application designed to integrate protein structure, protein sequence and protein annotations in a unique graphical environment. The current version of the application offers a unified, enriched and interactive view of EMDB volumes, PDB structures and Uniprot sequences where the protein annotations stored in Uniprot, Immune Epitope DB, Phospho Site Plus, BioMuta and dSysMap can be explored interactively at sequence and structural level.	['Database portal']	[{'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}, {'term': 'Molecular biology', 'uri': 'http://edamontology.org/topic_3047'}, {'term': 'Proteins', 'uri': 'http://edamontology.org/topic_0078'}]	[{'data': {'term': 'uniprot accession', 'uri': 'http://edamontology.org/data_3021'}}]	[{'data': {'term': 'uniprot accession', 'uri': 'http://edamontology.org/data_3021'}}]
pga	This package provides functions for construction of customized protein databases based on RNA-Seq data with/without genome guided, database searching, post-processing and report generation. This kind of customized protein database includes both the reference database (such as Refseq or ENSEMBL) and the novel peptide sequences form RNA-Seq data.	['Command-line tool', 'Library']	[{'term': 'RNA-seq', 'uri': 'http://edamontology.org/topic_3170'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Database management', 'uri': 'http://edamontology.org/topic_3489'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Data submission, annotation and curation', 'uri': 'http://edamontology.org/topic_0219'}, {'term': 'Data governance', 'uri': 'http://edamontology.org/topic_3571'}]	[{'data': {'term': 'sequence alignment (nucleic acid)', 'uri': 'http://edamontology.org/data_1383'}, 'format': {'term': 'gtf', 'uri': 'http://edamontology.org/format_2306'}}]	[{'data': {'term': 'sequence alignment (nucleic acid)', 'uri': 'http://edamontology.org/data_1383'}, 'format': {'term': 'gtf', 'uri': 'http://edamontology.org/format_2306'}}]
pklfilemerger	Merges individual Q-TOF .pkl files into a single file for database searching.	['Desktop application']	[{'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'pkl', 'uri': 'http://edamontology.org/format_3653'}}]	[{'data': {'term': 'mass spectrometry data', 'uri': 'http://edamontology.org/data_2536'}, 'format': {'term': 'pkl', 'uri': 'http://edamontology.org/format_3653'}}]
ispider central	Provides a range of services for integrative data analysis in mass spectrometry-based proteomics. It enables users to query multiple proteomic repositories and to add information to proteins retrieved from searches for integrative in silico experiments in proteomics.	['Web application']	[{'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Proteins', 'uri': 'http://edamontology.org/topic_0078'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}]	[]	[]
cpfp	A data analysis pipeline for shotgun mass-spectrometry proteomics.	['Web application', 'Suite']	[{'term': 'Proteomics', 'uri': 'http://edamontology.org/topic_0121'}, {'term': 'Proteomics experiment', 'uri': 'http://edamontology.org/topic_3520'}, {'term': 'Workflows', 'uri': 'http://edamontology.org/topic_0769'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'mzxml', 'uri': 'http://edamontology.org/format_3654'}}]	[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'mzxml', 'uri': 'http://edamontology.org/format_3654'}}]
mapi	Framework for the development of desktop client applications. It is able to integrate meta-data of different Web-services catalogues. Its main characteristic is that it is modular and adaptable to different usage scenarios.	['Command-line tool']	[{'term': 'Computational biology', 'uri': 'http://edamontology.org/topic_3307'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Bioinformatics', 'uri': 'http://edamontology.org/topic_0091'}, {'term': 'Software engineering', 'uri': 'http://edamontology.org/topic_3372'}]	[]	[]
rcellminer	The NCI-60 cancer cell line panel has been used over the course of several decades as an anti-cancer drug screen. Thousands of compounds have been tested on the NCI-60, which have been extensively characterized by many platforms for gene and protein expression, copy number, mutation, and others (Reinhold, et al., 2012). The purpose of this project has been to integrate data from multiple platforms used to analyze the NCI-60 and to provide a powerful suite of tools for exploration of NCI-60 data.	['Command-line tool', 'Library']	[{'term': 'Oncology', 'uri': 'http://edamontology.org/topic_2640'}, {'term': 'Drug development', 'uri': 'http://edamontology.org/topic_3373'}, {'term': 'Genomics', 'uri': 'http://edamontology.org/topic_0622'}, {'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'compound name', 'uri': 'http://edamontology.org/data_0990'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'compound name', 'uri': 'http://edamontology.org/data_0990'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
annotationtools	Functions to annotate microarrays, find orthologs, and integrate heterogeneous gene expression profiles using annotation and other molecular biology information available as flat file database (plain text files).	['Command-line tool', 'Library']	[{'term': 'Gene expression', 'uri': 'http://edamontology.org/topic_0203'}, {'term': 'Sequence analysis', 'uri': 'http://edamontology.org/topic_0080'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[{'data': {'term': 'gene expression profile', 'uri': 'http://edamontology.org/data_0928'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]	[{'data': {'term': 'gene expression profile', 'uri': 'http://edamontology.org/data_0928'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]
mlda	MLDA is a tool for the exploration and analysis of multi-label datasets with both simple and multiple views. MLDA comprises a GUI and a Java API, providing the user with a wide set of charts, metrics, methods for transforming and preprocessing data, as well as comparison of several datasets.	['Desktop application']	[{'term': 'Data architecture, analysis and design', 'uri': 'http://edamontology.org/topic_3365'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
odg	Tool for generating, querying, and analyzing multi-omics comparative databases to facilitate biological understanding.	['Command-line tool']	[{'term': 'Comparative genomics', 'uri': 'http://edamontology.org/topic_0797'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}]	[]	[]
mergeomics	Mergeomics is a computational pipeline consisting of independent modules that 1) leverage multi-omics association data to identify biological processes that are perturbed in disease, and 2) overlay the disease-associated processes onto molecular interaction networks to pinpoint hubs as potential key regulators.	['Command-line tool']	[{'term': 'Metagenomics', 'uri': 'http://edamontology.org/topic_3174'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Pathology', 'uri': 'http://edamontology.org/topic_0634'}]	[]	[]
nmrml converter	This tool is used to support the nmrML data standard for nuclear magnetic resonance raw data in metabolomics. It converts native Bruker, Jeol and Agilent vendor formats into the open access nmrML data standard that is used by an ever-so growing number of small molecule NMR repositories.	['Library']	[{'term': 'NMR', 'uri': 'http://edamontology.org/topic_0593'}, {'term': 'Metabolomics', 'uri': 'http://edamontology.org/topic_3172'}, {'term': 'Data integration and warehousing', 'uri': 'http://edamontology.org/topic_3366'}, {'term': 'Ontology and terminology', 'uri': 'http://edamontology.org/topic_0089'}, {'term': 'Analytical chemistry', 'uri': 'http://edamontology.org/topic_3370'}]	[{'data': {'term': 'nmr spectrum', 'uri': 'http://edamontology.org/data_3488'}}]	[{'data': {'term': 'nmr spectrum', 'uri': 'http://edamontology.org/data_3488'}}]
